a	b	c	d	e
0|1	Or dit li contes|que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	OR dist li contes|que tant demora lancelot la ou la uielle lot mene quil ot passe	Mas agora dexa el Cuento de fablar de don yban y torna a Contar de don lançarote y dela vieja Agora dexa el quento de fablar delos Caualleros	Or dice il conto|che tanto dimora Lancelotto là ove la vecchia l ebbe menato	xuiii|Tdistle cõpte|que tant demoura g lancelot la oula uieilse lauoĩt me ne
					Eõment lancel ot sceust par une damoy
					selle
					que la ropne estoit mallade sy mãda au roy
					⁊ a la royne de ses nouuelles C
2|3	VI|semainnes	vi|semaines	que andauan en busca de don lançarote	ch egli ebbe passate sei settimane	quif olt passe six sepmaines
4|5|6|7|8	et lors se santi sains|et haitiés|et desirranz de porter armes|Toz ne fust il mie encor bien gariz se li anuioit li repos|por ce qu il avoit trop longuement geu ce li ert avis	Et lors se senti il sains|& haities|& desirans de porter armes|Encore ne fust il pas bien garis|se li anuioit li repos|por ce quil auoit tant longement geu ce li iert auis	por contarlo quele auino conla donzella vieja|que andaba ensu guarda|e de otras cosas muchas agora dize el quento	Allor|si senti sano|e atato|e disiderante di portare arme|tutto non foss elli mica ben guarito ancora|si gli nvidiava il riposo|per ciò|ch elli aveva troppo lungamente giaciuto	Ei nestoit il pas ẽcort trop biẽ gari|mes le repos lup ẽnupoĩt pour ce q̃ trop auoit geu ce luy estoit aduis|Et lors se sentist sain ethaictie|et desirant de porter armes
				ciò li era aviso	
9|10|11|12	Et il se part de laienz|et les conmande toz a Deu|et la vielle li ot aprestees unes armes bonnes|et beles	Et il sen part de laiens|si lez commande tous a dieu|Et la vielle li ot aprestees armes|qui estoient beles|et bones	que lançarote moro bien seis semanas alli dola donzella vieja lo lleuo y entonze se sintio sano|e deseoso de tomar armas pero no hera aun bien guarido	Si si parte di là entro|e li comanda a Dio|e la vechia li ebbe apportate un arme buone|e forti	Il se partist de leans|et la uieille lup auoit apprestes unes armes|qui estoienthõnes
13|14	et un escu tout nuef;|si se mist en son chemin	et escu tout nuef|Si se mist en son chemin	mas no le plazia	e uno scudo tutto nuovo|:|e elli|si misse in su camino	et belles:
15	et acueilli sa voie aprés la vielle	et acueilli sa voie apres la vielle		si acolse sua via apresso la vechia	⁊ escu tout neuf
16|17|18	Quant il ot chevauchié dusqu a midi|si ataint I|damoi] cjsele a l entree d une forest	Et quant il ot cheualchie iusques a miedi|si ataint une damoisele en mi vne forest	porque yoguiera tanto envn lugar y entonçe se partio dende y la vieja le tenia muy buenas armas y vn escudo blanco y armose y acogiose asu camino conla vieja y desque andubieron asta visperas fallaron ala entrada devna floresta vna donzella	Quand egli ebbe cavalcato insin qu apresso mezodi|si agiugne una damigella|all entrata d una foresta	E til se mist en sonchemin ap̃s la uielle Q uãt il eu st cheuauche iusq̃s a nudy
19|20|21	qui chevauchoit I|petit palefroi noir|et pensoit moult durement	qui cheualchoit|j petit palefroi noir|si pensoit moult durement	que andaba envn palafren morzillo y no andaua conella ome del mundo|e yba pensando muy fieramente	che cavalcava un piccol palafreno nero|e pensava molto duramente	si at¬ taint une damoyselle a lẽtree de une forest qͥ cheuauchoit ung petit palleffroy noir la q̃l¬ le pensoit mõlt duremẽt
22|23	et bien paroit a ses iauz qu ele avoit rouges|et anflez qu ele eust ploré	Et bien paroit a sez iex quelle auoit rouges|et enfles quele auoit plore	e semejaua|que lloraua mucho	e ben parea assuoi occhi|ch ella avea rossi|e nfiati|ch ella avea pianto	et sẽbloit dien a ses peux quelle auoit ploure
24	Il la salue	Il le salue	e traia los ojos vermejos	Elli la saluta	I sa saltue
25	quant il l aproche	quant il laproce	e inchados	quand|e l apresima	
26|27	et ele lui ausi|Damoisele fait il vos me samblez moult couroucie	et elle lui autresi Damoisele fet il vous me sambles corocie	e lanzarote saluo la donzella y ella ael donzella dixo el semejame	e ella lui altresi|: Damigella|diss elli|vo mi sembiate molto crucciata	etelse luy|Damoiselle fist il uous me sembles cou rouchee
28	et je savroie volentiers l achoison de vostre courouz	Et iou sauroie volentiers locoison de vostre corous	que algun gran pesar auedes|e querria sauer	e io saprei volentieri la cagione di vostro cruccio	it scairoir uoulentiers lachoison de uostre couroust:
				;	
29|30	Et bien sachiez|que j'i metroie volentiers tout le bon conseil	Et bien sachies|que ie y meteroie volentiers tout le bon conseil	porque ca saued|que os porne todo el mejor consejo	e ben sappiate|ch i' vi metterei volentier pena|e tutto il buon consiglio|ch i potrei	et sachies q̃ ie y meitroie tout le meilleur conseil
				— Al	
				certo	
				sire	
				disse ella	
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que iou y porroie mettre|Certes fait elle il na homme el monde fors dieu	que yo pudiere çierto señor dixo la donzella enel mundo no a ome	e non à huomo al mondo|fôrse ldio	que ie pourroie|Ceries fist elle il nesthõmefors dieu
32|33|34|35	qui consoil i poïst metre|car de ce|dont je cuit estre couroucie sont C|mile autre couroucie ne ce n est	qui conseil y peust metre|Car ce de coi ie soi corocie|sont autre coroucie	que pudiese poner consejo enesto|porque yo so triste sino dios|e por lo|que yo so triste lo debria ser todo el mundo|e se quelo son|mas de çient mill|omes	che consiglio vi potesse mettere|ché cciò dond io son crucciata son centomiglia altre crucciate	qui conseil p peust mettre|car de cc|donc ie suis courouchiee sont cent mille aultres courouchies
36|37	? mie chose ou je perde seulement|mais tuit li povre gentil home del monde	Ne ce nest mie chose ou iou perde seule|mais tot li poure gentil homme del monde	ca esto no es perdida devn|ome solo antes lo es de todos los Ricos	: né ciò nonn è mica cosa ov i' solamente perda|ma tutti i poveri gentili huomini del mondo	ne ce nest mie chose ou ie perde seullemẽt mes tous les preu dõmes du mode tant de la grade bretaingne
38	et tuit li riche de la Grant Bretaingne	et tout li riche de la grant bertaigne	e delos pobres dela gran bretaña	e tutti i ricchi della Gran Brettagna	
39|40|41	et d autres terres|— Enon Dieu damoisele faît Lanceloz|dont n est a il mie merveille se vos en estes couroucie	& dautres terres|Enon dieu damoisele fet lancelot|dont nest ce mie merueilles se vous estes coroucie	e demas delas otras tierras pordios dixo el donzella no es marauilla|si uos ende pesa	e dell altre terre|— A nome di Dio|disse Lancelotto|damigella|dunque non è elli mica maraviglia se voi ne siete crucciata	que de autres terrrs|Par dieu dit lancelot du lac damoiselle dõc nest ce pas de merueille se uous estes courroucee
42	et je vos pri	Et iou vous pri	e porende vos Ruego	! E i' vo priego	⁊ ie uous prie
43	que vos me diez	que vous me dites	que me digades	che vo mi diciate	que uous me diez
44	que ce est	que chou est	que cosa es o	che ciò è	que cest:
45|46|47|48|49	car puis|que toutes genz le sevent vos le poez bien dire ce m est' avis|sanz meffait|— Sire fait ele jel vos dirai|puis que vos avez tel talant del savoir	Car|puis que tant de gent le seuent vous le me poes bien dire ce mest auis sans mesfait|Sire fait elle ie le vous dirai|puis que vous en aues|si grant talent del sauoir	que perdida es puesque tantos lo sauen bien melo podedes dezir|si quisieredes señor dixo la donzella pues vos tan gran sauor auedes delo sauer deçiruosloe marauillome|como lo vos no sauedes|Ca ya tiempo|a que todo el mundo lo saue verdad es dixo la donzella	ché poscia|che tutte genti il sanno|voi il mi potete ben dire|ciò m è aviso|sanza misfatto|— Sire|diss ella|che voi avete tal talento del sapere	puis que toutes gens lescai¬ uent uous le me pouez bien dire|Gire fist el¬ le ie le uous dirap|puis que uous aue tel tal lent de le sauoir
				:	
				io il vi dirò	
				poscia	
50|51	et si me merellie mouit|que vos nei savez		que este pesar me viene|por dos cosas la vna es demi hermana|que me tomo vn cauallero a fuerça y la otra es	si mmi maravigli ol molto quando vo' nol sapete	⁊ si me merueille q̃ uous ne le sauez
52|53	car toz li mondes le set ja a|Voirs est fait ele	Voirs ert fet elle	por muerte devn cauallero el mejor del mundo	ché tutto il mondo il sa|Ver è|diss ella	Orap est dit la damoiselle|que mon courroust est de|ii|choses
					De une miẽne seur
54|55	que mes couroz est de Jl|¡or a force	que mes corous est pour|ij|choses|li vns est dune moie sereur|que vns cheualiers prist lautre ior a force	que si el fuese viuo el me daria derecho dequien tanto tuerto me fizo|mas vien se	che mi' cruccio est di due cose|: d una mia sirocchia|ch un cavaliere prese l altsrlo giorno a forza	que ung cheualier print lautre iour a force
			que es muerto y dire vos		
		Et li autres			
56|57|58	et d un prodome|qui bien men venjast s il fust vis dusqu a ore|Mais il est morz	si est dun prodomme|qui bien men uengast se il eust uescu dusques a hore|mez il est mors	como asi es|que quando yo vi el cauallero	ee d un produomo|che ben me ne vendicasse|s elli fosse vivuto infino a ora|ma elli è morto	⁊ de ung preudõme quibien men uengast sil feust uif|mais il est mort
		si vous dirai comment ie le sai			
		Il est voirs			
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	que quant li cheualiers ot prise ma seror a force ne rendre ne le me veult	que ami hermana tomo|que mela no quiso dar	Si vo dirò com'i' l so	⁊ uous diray commẽt ie le scap Il est uray q̃
60|61	por proiere ne|por donner	por proiere ne pour donner	por Ruego ni	: elli fu vero|che quando l cavaliere ebbe pressa mia serocchia a forza|né render no la mi volea per plrjeghieri né per donare|ch i' sapesse	quant le cheualier eut prĩ se ma seur a force il ne la uoulloit rendre pour priere ne pour don
		que iou li peusse faire			
