		el pere 	0
0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	et el fil |et el saint esperit: 	1|2
		na fors i dieu. 	3
1	et cil est si poissans 	et cil est si poissans 	4
2	qu’il puet fere les mors a resusciter et de cels 	quil fait les moͬs resuciter. et de sauc 	5
3|4	qui ont esté malvés et desloials |puet il fere buens et droituriers, 	qui sont mauuais et desloiaus. y uet faire droiture et dons. 	6
5	ne nus n’est tant pecheor, 	ne nus nest tant pechierres 	7
6	se il s’acorde a lui, 	se il sacorde a lui 	8
7	qu’il ne le face venir al desus de tos ses I anuis. 	que il ne face uenir au desus de tous ses anemis. 	9
8	Et il a bien mostré, voiant vos tos, 	et il a bien mostre uoiant uos tous 	10
9	qu’il est Diex et puissans sor tos autres, 	quil est diex poisSans sor tos autres. 	11
10	ne a la puissance de lui ne se puet nus pooirs prendre 	ne a la poissance de lui |ne se puet nus pooirs	12|13
11	et ce poés vos bien veoir par ces ymages 	prandre.et ce poez uos bien sauoir |et ne oir par ses ymages	14|15
12	que vos clamiez diex et en cui vos creez	que uos clames diex |et cui uos crees 	16|17
13	qu’il a si acraventés et afondrés 	que il a ci foudrees et crauantees. 	18
14	qu’il sont tuit ars. — 	Si que le sont totes arces. 	19
15	Certes, fet Mategrant, je voi bien 	CErtes fait mategrans ie uoi bien 	20
16	qu’il est assés plus puissans 	que il est asti plus poissans 	21
17	que je ne cuidoie 	que ie ne cuidoie 	22
18	et se il raisoit tant 	et ce il faisoit tans 	23
19	que mes freres fust resuscités		
20|21	si qu’il parlast a moi, |jamés ne croiroie en autre dieu 	que mes freres fust resucites et il parlast a moi: Ie ne querroie iamais en autre dieu 	24
22	se en lui non. » 	ce ca lui non. 	25
23	Quant Joseph or ce 	quant Iosep oi ce 	26
24|25	que Mategrant disoit,|si s’agenoille a terre 	que mategrans dissoit si saienoille.	27
26	et dist: « Diex 	et dit diex 	28
27	qui estoras le monde,	qui estonas le monde. 	29
28	qui feis la lune et le soleil et les.III. elemens, 	qui feis la lune et le soleil |qui feis les qͣtre ellemans. 	30|31
29	qui deignas nestre de la Virge pucele, 	qui dangnas naistre de la uirge pucele 	32
30	qui fus pendus en la sainte Crois	Qui fu pandus en la crois. 	33
31	et te laissas escopir et batre 	et te laissas escopir	34
		et batre as felonc Iuis. 	35
32	et ferir as felons Juis et volsis goster de la mort por ton pueple raiembre des paines d’enfer, sire, ensi vraiement 	et uosis gouster de la mort |por ton pueple racheter des painnes danfer. Sire 	36|37
33	com tu resuscitas de mort, 	ainSi uraiement comtu resucitas de mort. 	38
34	ensi faces i tu miracle de cest mort apertement, voiant tos cels 	ainsi face tu miracles de cest mort. apertement uoiant tous ciax	39
35	qui ci sont.»	qui ci sont. 	40
36	Lors se drece Joseph 	Lors ce dresce Iosep. 	41
37	et aprés ce ne demora gueres 	et apres ce ne demora gaires 	42
38	que li mors se leva de terre sains et haitiés 	que li cors se leua de terre et sains et haitiez.	43
39	et cort cele part	et cort cele part la 	44
