0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere le filz |et le saint esperit 	0|1
1|2	et cil est si poissans |qu’il puet fere les mors a resusciter et de cels 	qui nest 	2
3	qui ont esté malvés et desloials 	que ung seul dieu 	3
4	puet il fere buens et droituriers, 	Celui peut toutes choses faire uenir: 	4
5	ne nus n’est tant pecheor, 	et nul ne est si pecheur 	5
6	se il s’acorde a lui, 	sil se accorde a lui 	6
7|8	qu’il ne le face venir al desus de tos ses I anuis. |Et il a bien mostré, voiant vos tos, 	quil ne face uenir au dessus de ses ennemis 	7
9|10	qu’il est Diex et puissans sor tos autres, |ne a la puissance de lui ne se puet nus pooirs prendre 	ne a la puissance de lui 	8
11	et ce poés vos bien veoir par ces ymages 		
12	que vos clamiez diex et en cui vos creez		
13|14	qu’il a si acraventés et afondrés |qu’il sont tuit ars. — 	ne se peut nul prendre. 	9
15	Certes, fet Mategrant, je voi bien 	Certes dit mathagrans ie uoy bien 	10
16	qu’il est assés plus puissans 	quil est plus puissant 	11
17	que je ne cuidoie 	que ie ne cuidoie 	12
18|19	et se il raisoit tant |que mes freres fust resuscités	et sil faisoit tant que mon frere fut resuscite 	13
20|21	si qu’il parlast a moi, |jamés ne croiroie en autre dieu 	et quil parlast a moy iamais ne croiroie en autre dieu 	14
22	se en lui non. » 	que en lui. 	15
23	Quant Joseph or ce 	QUant ioseph ouist ce 	16
24|25	que Mategrant disoit,|si s’agenoille a terre 	que matagrans disoit il se agenoulla incontinent 	17
26	et dist: « Diex 	et dist. Sire dieu 	18
27	qui estoras le monde,	qui creas le monde 	19
28	qui feis la lune et le soleil et les.III. elemens, 	et fiz la lune et le soleil 	20
29	qui deignas nestre de la Virge pucele, 	et feiz les quatre elemens/ et uouluz naistre de la uierge marie: 	21
30	qui fus pendus en la sainte Crois	et qui fuz pendu en la croix: 	22
31	et te laissas escopir et batre 	et te laissas batre et ferir 	23
32	et ferir as felons Juis et volsis goster de la mort por ton pueple raiembre des paines d’enfer, sire, ensi vraiement 	et lier a la tache pour ton peuple rachater des peines denfer |Si uraiement 	24|25
33	com tu resuscitas de mort, 	comment tu resuscitas de mort au tiers iour 	26
34	ensi faces i tu miracle de cest mort apertement, voiant tos cels 	ainsi faces tu miracle de se mort uoirement et appertement uoyans tous tous ceulx 	27
35	qui ci sont.»	qui cy sent. 	28
36	Lors se drece Joseph 	Lors se drece loseph. 	29
37	et aprés ce ne demora gueres 	aprez ne demoura gaires 	30
38|39	que li mors se leva de terre sains et haitiés |et cort cele part	que le mort se leua de terre. 	31
40	ou il voit Joseph; 		
41	si li baisse les piés 		
42	et dist si		
43	que tuit l’entendent: « Veez ci le saint homme 		
44	qui despendi le fiz Dieu de la vraie crois 		
45	et Dieus l’a envoié entre nos		
46	por ce 		
47	que vos soiés baptisié, 		
48	kar autrement ne poés vos eschaper de la pardurable mort d’enfer. » 		
49	Quant Joseph vit le mort resuscité,	Quant ioseph uist le mort resuscite 	32
50	si plora de pitié 	si ploura de ben cuer	33
51|52	et mercia Dieu de buen cuer; |si dist a cels 	et mercia dieu doulcement et dist a tous ceulx 	34
53	qui entor li estoient: « Seignor, 	qui deuant lui estoient. Seigneurs 	35
54|55	or poés vos bien dire |que cil 	or pouez uous bien dire 	36
56	de cui je vos al parlé est Diex et puissans sor tos autres. — 		
57	Certes, fet Mategrant, c’est voir ne jamés ne creirai en autre Dieu 		
58	que en lui, 	que celui 	37
59	kar je sai bien,		
60|61	des qu’il a Argon mon frere resuscité, |qu’il est Diex sans per.	que ie uous dis est dieu puissant sur tous les autres. 	38
62	Atant se laisserent tuit cil de la place chaoir as piés Joseph 	A ce mot se laisserent tous cheoir aux piez de ioseph 	39
63	et distrent a haute vois : « Sire, nos nos metons del tot en vostre conseil; 	en disant a haulte uoix. Sire nous sommes a uous du tout 	40
64	se nos avons par mescreance foloié ça en arieres, nos somes prest de lamendier a vostre los ne jamés ne ferom rien 	se nous auens par mescreance follie faicte nous sommes tout prestz de lamender. 	41
65	qui encontre vostre volenté soit. Enseigniés nos quel loi nos devom tenir et en quel maniere, 	Enseignes nous 	42
66	et nos la tendrom. »	quelle loy nous deuons tenir. 	43
67	Ensi furent cil del chastel converti et baptisié. 	Ainsi furent ceulx du chasteau cenuertiz 	44
68	Et quant li seneschals	Quant le seneschal	45
69|70	qui avoit feru Joseph par mi la cuisse |vir 	qui lauoit feru parmi la cuisse uist 	46
71|72	que tuit se crestienoient, |si reconuit oiant tot le pueple 	que tous receuoient baptesme si recongneut oyans tous 	47
73	comment il avoit feru Joseph	qu il auoit feru ioseph 	48
74	et comment l’espee estoir brisiee, « 	et comment lespee estoit brisee/ 	49
75	et je cuit, fet il, 	et ie cuide fait il 	50
76	que vos en troverois l’autre moitié en sa cuisse.» 	que uous trouuerez lautre moitie en sa cuisse. 	51
77	Lors i fist Mategrant garder. 	Lors y fist matagrans regarder 	52
78	si troverent l’espee; 	si trouua lespee. 	53
79	et quant virent ce, 	Quant ilz uirent ce 	54
80	si en furent molt esmaié; 	si en furent moult esmaiez. 	55
81	si dist Mategrant: «Sire, 	et lors dist matagrans Sire	56
82	comment portois vos garir? — Bien,	comment pourrez uous garir. 	57
83|84	se Dieu plest fist Joseph, |mais vos serois avant sanés de la plaie de vostre chief., 	Bien dit il. 	58
85	Lors fist aporter le remanant de l’espee ou le pont 	Lors fist apporter le demourant de lespee 	59
86	et le heut estoit, 	ou la pongniee estoit 	60
87	si fist le seigne de la crois sor la plaie Mategrant 	si fist le signe de la uraie croix sur la playe: 	61
88	et ele fu tantost garie. 	et elle fut tantost garie. 	62
89	Puis traist hors de sa char la piece de l'espee 	apres trait hors de sa cuisse lespee, 	63
90|91	qui dedens estoit; mes|trop se merveillierent tuit cil 	mais trop se merueillerent tous ceulx 	64
92	qui la virent, 	qui le uirent 	65
93	kar au retraire n’issi de la plaie gote de sanc, 		
94	et l’espee estoit si clere et si blanche 		
95|96	qu’il sambloit |c’onques ne fust en char entree De ce se merveilla tos li pueples, 	car au traire ne uirent oncques issir goutte de sang.	66
97	et quant Josepf fint les ll. moitiés del brant, 	Quant ioseph uist ces deux pieces de lespee 	67
98	si dist : « 	si dit. 	68
99	Ha, espee jamés ne seras soldee devant 	haa espee iamais ne serez ressoudee 	69
100	que cil te tendra a ses mains 	deuant que celui la tendra en ses mains	70
101	qui les hautes aventures del Graal devra assomer; 	qui les haultes auantures du saint graal mettra a fin 	71
102|103	mais si tost com il te tendra,|si rejoindras a force, 	mais si tost comme il la tendra reioindront les deux pieces ensemble. 	72
104	Et cele partie 		
105	qui en ma char entra ne sera jamés veue nule fois 		
106	que sanc n’en isse, 		
107	tant que cil 		
108	qui la soudera la tiegne. » 		
109|110	Ensi jura loseph de l’espee,|et lors furent par le chastel crestienez. 	Adonc furent baptizes et chrestiennez les sarrazins du chasteau. 	73
111|112	Si vesqui puis Argon VIll. ans; |et quant loseph se parti del chastel, 	Si demoura ioseph a la uille grant piece. 	74
113|114	si refindrent laiens l’espee|et la garderent a grant chierté 	Et quant il sen partist ilz retindrent lespee a grant chierte 	75
115|116	tant que je la conquis oan a molt grant paine. |Et bien sachiés 	tant que ie la conquis 	76
117|118	que je i oi molt grant travail, |ains que l’euisse par devers moi; 	ouan a moult grant peine.	77
119|120	et puis que je l’oi, |vos di je bien 	Et puis que lay conquise uous dis ie bien 	78
121|122	qu’ele ne fu traite del fuere iors orendroit: |si la port aventure trover celui 	que elle ne fut traicte dehors 	79
123	qui la rejoinsist, 		
124	et mesmement de yos avoie je grant espoir 		
125	que vos la rejoinsissiés,		
126	kar il n’est encore de nul chevalier si grant parole 		
127	come de vos; 		
128	et quant vos i avés failli, je ne sal qui í puisse recovrer. 		
129	Or avés oi 	Or auez ouy 	80
130|131	por quoi ele saine t |por quoi je port ll. espees. 	pour quoy elle saigne et sauez uous 	81
132|133	Et savés vos |por quoi je m’agenoillai devant li? le m’i agenoillai 	pour quoy ie laporte: pource 	82
134|135	por ce que |¡e sai bien 	que ie scay bien 	83
136	qu'ele est sainte, 	que elle est saincte. 	84
137	kar par si seront achevees es aventures del saint Oraal, et maint miracle en ai e veu, 		
138|139	puis que je la portai premierement. — |Et por quoi, fet Hestor, le baisastes vos ? —	Et pour quoy fait hector la baisastes uous. 	85
140|141	Por ce, fet il, |que le jor 	Pour ce fait il 	86
142	que je le baise ne recevrai je mortel plaie; 		
143	et quant je dis ore a mon seignor Gauvain 		
144|145	qu’il m’avoit de mort rescos, |ne me menbroit il pas de l’espee. — 	que le iour que ie la baiseray ie ne receuray mortelle plaie. 	87
146	Or me dites, fet mesire Gauvain, 	Or me dictes fait messire gauuain 	88
147	comment vos avés non. — 	comment uous auez nen.	89
148|149	Certes, fet cil, j’ai non Eliezer, |si sui fiz al Riche Roi Pescheor 	Certes dit il iay nom helye le filz du roy 	90
150|151	qui tient le saint Graal en sa maison. — |Et	qui tient le saint graal en sa maison. 	91
152|153	qu’aliés vos querant? fet mesire Gauvain. — |Certes, iet cil, je vos aloie querant 	Et que querez uous dist messire gau. Ie uous quier dit il 	92
154|155	por ceste espee Ejoindre, |har je cuidoie bien 	pour reioindre ceste espee. Ie uous diray foit messire gau. 	93
156|157	que vos n'i fausissiés pas; |et puis que vos i avés failli, je cuit bien 	que uous ferez. Nous sommes esmeuz en la queste du meilleur cheualier du mende 	94
158	que chevaliers n’i aviegne mes a piece. — 		
159	Or vos dirai, fet mesire Gauvain, 		
160|161	que vos lerois. ll est voirs |que nos somes meu en la queste del nellor chevalier del monde, 	si uous loeroie en droit conseil	95
162	dont nos ne savons rien yil est mors ou vis, 	que uus uenissez auecques nous 	96
163|164	et |por ce vos loeroie je en droit conseil 	tant 	97
165|166	que vos venissiés avec nos tant que nos l’euissons trové ou loing ou pres, |se trovez puet estre, 	que nous leussens trouue se trouuer le pouons. 	98
167|168	Et|¡t sai bien 	et ie scay bien 	99
169	qu'il achevera ceste aventure, 	que celui acheuera la besongne 	100
170	se mortels proesce í puet avoir mestier. — 	se mortelle proesse y pouoit auoir mestier. 	101
171|172	Ki est cil, fet li chevaliers, |que vos dites,	Qui est celui dit helie 	102
173	qui tant est de haute proesce? — Cest, fet il, mesire Lancelos del Lac. — 	qui est de si haulte prouesse/ |fait monsigneur gauuain cest lancelot du lac/	103|104
174|175	Par oi, fet cil, en vostre queste ne me metroie je mie, |kar Fres al pas le crgé, 	par ma foy fait celluy en uostre queste ne me mettray ie point 	105
176|177	ams men iel la |dont je nui; 	car ie nen ay mie le cengie/ 	106
178|179	mes |se vos le trovés nul lieu,	mes se uous le trouues en nul lieu 	107
180	si li poés dire 	si luy dictes 	108
181	que s’il velt ceste espee veoir, 	que ce il ueult ceste espee reioindre/ 	109
182	si viegne tot droit chiés le Riche Roi Pescheor, 	si uienne chiex le toy pescheur 	110
183|184	kar iluec |porra il l’espee trover. » 	car illeuc la pourra trouuer et ueoir. 	111
185	Et lors les commande a Dieu, 	Et lors le commanda a dieu. 	112
186	si s’en vet entre lui et la pucele et l’escuier, 	Si sen ua luy et la damoyselle 	113
187	et mesire Gauvain se depart de ses compaignons, 	que mensigneur gau. amena la/ |et sen uont chiex le riche roy pescheur/ 	114|115
188	si aquelt son chemin tos sols et chescuns des autres fet autretel. 	et mensigneur gau. sen part de ses compaignons |et prent chascun son chemin. 	116|117
189	Mes ore se taist li contes d’els tos 	Mes ores se taist le compte de eulx 	118
190	et parole d’Agloval premierement, 	et parle de agloual premierement. 	119
191	Or dist li contes 	Comme agloual cenquist griffon du maupas |et deliura keu se senechal de prison. 	120|121
192	que, 	C.u. LE compte dist	122
193	quant Agloval fu partis de ses compaignons, 	que quant agloual se fust parti de ses compaignens 	123
194|195	qu’il erra tot le jor entier |sans aventure trover 	quil erra tout le iour sans aduanture trouuer 	124
196|197	qui face a amentevoir. |Et la nuit iut en la maison a un hermite molt preudome 	qui a compter fache/ il alla cheulx ung hermite 	125
198	qui son pooir fist la nuit de lui aaisier. L’endemain se leva matin 	et se herbega leans 	126
199	et erra totes voies 	et lendemain 	127
200	et ensi cercha la forest et de Ionc et de lé, 	se leua matin et erra parmy une forest 	128
201|202	tant que ce vint al cinquime jor |qu’il vint, un poì devant vespres, en I. estroit sentier.	tant quil uint au quint iour en ung sentier estroit 	129
203|204	Et lors encontra I. chevalier acorant sor .I. cheval |et fu armés de totes armes, 	et lors encentra ung cheualier sur ung grant destrier arme de toutes armes son escu estoit amont 	130
205|206	mes ses escus estoit detrenchiés amont et aval et ses haubers ros et desmailliés et ses hialmes depeciés et escartelés »;|et li sans li degote de la teste et des bras, si	et aual tout deperchie et le sang luy degouctoit de la teste. 	131
207|208	que li haubers en estoit tos vermels. |Et quant il vit Agloval,	Et il uit agloual si uint uers luy 	132
209	si vint vers lui 	et luy dist/ 	133
210|211	al plus tost |qu'il pout 	haa gentil cheualier pour dieu aies mercy de moy/ 	134
212	et a li dist: « 	et ne me lessies occhire 	135
213	Ha, gentils chevaliers, aies merci de moi, ne me laisse ocirre devant toi ! — Sire, fet Agloval, je ne voi encore nul 	deuant uous Sire fait agloual ie ne uois homme 	136
214	qui mal vos weille fere. — 	qui mal uous uueille faire. 	137
215	Bials sire, fet cil, vos le verrois par tens, 	Biau sire fait celluy uous le uerres par temps/ 	138
216	lar aprés moi vient ne sai quels chevaliers	car apres moy uient ung cheualier 	139
217	qui me velt ocirre, 	qui me ueult occhire pour neant/ 	140
218|219	et por noient, |et si m'a il ja navré, 	et si me a il ia si naure 	141
220	com vos poés veoir. — 	comment uous poues uoir 	142
221|222	Or ne vos esmaiés, ret Agloval, mes laissiés le venir tot seurement, |si l’atendés, 	or 	143
223	et je vos creant loialment 	ne uous esmayes fait agloual 	144
224	que vos n’i avrois ja mal sans moi. »; A ces paroles se regardent 	mes lessies le moy uenir tout seurement. A ces parolles si regardent eux .ii. 	145
225	et voient I. chevalier» venir si grant aleure 	et uoient uenir ung cheualier 	146
226	com li chevals le puet aporter. « Sire, fet li chevaliers a Agloval, veés le ci» 	lois dist le cheualier a agloual uees le cy/ 	147
227|228	Et il point maintenant vers lui |quanqu’il puet del cheval traire ; 	et agloual point maintenant a luy. 	148
229|230	et cil li torne la teste de son cheval,|quant il voit 	Et celluy luy tourne la teste de son cheual 	149
231	que cil li vient a l’encontre ; 		
232	si s’entrenerent si durement 	si sentrefierent si durement	150
233|234	que li escu n’ont duree |qu’il ne soient percié as fers des lances. Li chevaliers brise sa lance a l’encontrer 	que les escus ne ont duree/ le cheualier brise sa lance 	151
235	et Agloval le fiert si durement 	et agloual le fiert si durement 	152
236	qu’il porte lui et le cheval a terre.	quil fait uoller luy et le cheual par terre/ 	153
237	Mes cil 	mes celuy 	154
238	qui molt estoit pros se relieve erraument 	qui estoit preux se releua erraument/ 	155
239	et trait l’espee	et traict son espee 	156
240|241	et gete l’escu sor sa teste, |si fet grant samblant de soi deffendre. 	et fait lemblant de soy deffendre/ 	157
242|243	Et Agloval li cort sus tot ensi |com il estoit armés,	et agloual luy court sus tout a cheual 	158
244	si a le fiert si del pis del cheval 	si le fiert du piz du cheual si	159
245	qu’il le refet voler a terre. 	qu il le reffist uoller a terre 	160
246|247	Et lors descent jus, |kar plus ne le velt requerre a cheval, 	et lors deschendist ius du cheual 	161
248|249	por ce qu’il estoit a pié; |si atache son cheval a un arbre », 	et traist lespee 	162
250|251	puis trait l’espee |et cort sus al chevalier; 	et si luy court sus/ 	163
252	mes il le trueve si atorné 	mes il le treuue |si estonne 	164|165
253|254	que cil n’a pooir de soi relever de la |ou il gist, 	quil ne a pouoir de soy releuer/ il luy errache le heaulme de la teste/ 	166
255|256	et il li esrache le hialme de la teste |et li abat la ventaille 	et luy abbat la uentaille/ 	167
257	et dist 	et dist 	168
258	qu’il li coupera le chief, 	qu il luy couppera la tese 	169
259	s’il ne se tient por outré. 	se il ne se tient pour oultre/ 	170
260	Et cil oevre les iex, 	et celluy oeuure les yeux 	171
261|262	qui assés estoit a mal aise e; |et quant il voit l’espee 	et quant il uoit lespee	172
263|264	dont cil li velt le chief couper, |si a poor de mort 	si a trop grant paour de mourir 	173
265	et crie merci. « 	si crie merci et dist.	174
266|267	Ha, frans chevaliers, fet il, |ne m’ociés mie, 	Haa gentil cheualier ne me occhies mie/ 	175
268	kar ie me tieng por outré; 	car ie me tiens pour oultre 	176
269|270	et veez ici m'espee |que je vos rent. » 	et luy rent son espee: agloual la recheust puys lui demande	177
271	Et Agloval la reçoit 	pour quoy il uoulloit occhire ce cheualier/ 	178
272|273	et|puis li demande 	et il dist 	179
274|275	por quoi il voloit le chevalier ocirre. » |Par foi, fet il, 	que cestoit pour ung sien escuyer 	180
276|277	por ce qu’il ocist avant ier un de mes escuiers, |ne soi por quoi: 	quil auoit auant hyer occhiz/ par ma foy fait agloual cestoit grant desloyaute 	181
278|279	et |por ce l’oceisse je volentiers, 	quant pour ung escuyer uous uoullies occhire ung cheualier 	182
