0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere et le fil |et le saint esperit. 	0|1
1|2	et cil est si poissans |qu’il puet fere les mors a resusciter et de cels 	et que il nest que vns seuls diex. 	2
3|4	qui ont esté malvés et desloials |puet il fere buens et droituriers, 	et cil puet toutes choses faire uenir.	3
5	ne nus n’est tant pecheor, 	Ne nuls nest si pechierres. 	4
6	se il s’acorde a lui, 	sil se veult racorder a lui. 	5
7	qu’il ne le face venir al desus de tos ses I anuis. 	quil ne le face uenir al desus de tous Sses anemis. 	6
8	Et il a bien mostré, voiant vos tos, 		
9	qu’il est Diex et puissans sor tos autres, 		
10|11	ne a la puissance de lui ne se puet nus pooirs prendre |et ce poés vos bien veoir par ces ymages 	Ne a la poissance de lui ne se puet nus prendre. Ieaszal Nertes fait mathagrans iou voi bien 	7
12	que vos clamiez diex et en cui vos creez		
13	qu’il a si acraventés et afondrés 		
14	qu’il sont tuit ars. — 		
15	Certes, fet Mategrant, je voi bien 		
16	qu’il est assés plus puissans 	quil est plus poissans 	8
17	que je ne cuidoie 	que iou ne qui U doie. 	9
18	et se il raisoit tant 	Et sil faisoit tant 	10
19	que mes freres fust resuscités	que mes freres fust resuscites et	11
20	si qu’il parlast a moi, 	quil parlast a moi. 	12
21	jamés ne croiroie en autre dieu 	iamais ne creroie en autre dieu 	13
22	se en lui non. » 	quen lui	14
23	Quant Joseph or ce 	Et quant ioseph oi chou 	15
24|25	que Mategrant disoit,|si s’agenoille a terre 	que mathagrans disoit. Il sagenoille maintenant et dist. biau sire diex 	16
26	et dist: « Diex 		
27	qui estoras le monde,	qui estoras le monde |et 	17|18
28	qui feis la lune et le soleil et les.III. elemens, 	qui feis la lune. et le soleil |et lez. iiij. elemens 	19|20
29	qui deignas nestre de la Virge pucele, 	et daignastes naistre de la virgene marie. 	21
30	qui fus pendus en la sainte Crois	et fustes pendus en la crois 	22
31	et te laissas escopir et batre 	et te laissas batre et ferir 	23
32	et ferir as felons Juis et volsis goster de la mort por ton pueple raiembre des paines d’enfer, sire, ensi vraiement 	et loier a lestache et uolsis: goster mort en la sainte vraie crois |pour ton puele rachater de la mort denfer. 	24|25
33|34	com tu resuscitas de mort, |ensi faces i tu miracle de cest mort apertement, voiant tos cels 	Si vraiement com tu resuscitas au tierc ior de mort. si vraiement 	26
35|36	qui ci sont.»|Lors se drece Joseph 	com ce fu voirs ensi faces tu miracles 	27
37|38	et aprés ce ne demora gueres |que li mors se leva de terre sains et haitiés 	de cest mort. vraiement et apertement. deuant tous cheuls 	28
39|40	et cort cele part|ou il voit Joseph; 	qui chi sont. 	29
41|42	si li baisse les piés |et dist si	ors se drece ioseph en estant 	30
43	que tuit l’entendent: « Veez ci le saint homme 		
44	qui despendi le fiz Dieu de la vraie crois 		
45|46	et Dieus l’a envoié entre nos|por ce 	et apres ne demora gaires. 	31
47|48	que vos soiés baptisié, |kar autrement ne poés vos eschaper de la pardurable mort d’enfer. » 	que li mors se Lreleua de terre. 	32
49	Quant Joseph vit le mort resuscité,	Et quant ioseph uit le mort resuscite. 	33
50	si plora de pitié 	si plora de bon cuer 	34
51	et mercia Dieu de buen cuer; 	et en merchia dieu moult doucement. 	35
52	si dist a cels 	puis dist a chiaus 	36
53	qui entor li estoient: « Seignor, 	qui deuant lui estoient. Segnor 	37
54|55	or poés vos bien dire |que cil 	or poes vous bien sauoir	38
56|57	de cui je vos al parlé est Diex et puissans sor tos autres. — |Certes, fet Mategrant, c’est voir ne jamés ne creirai en autre Dieu 	que cils diex 	39
58|59	que en lui, |kar je sai bien,	dont ie vous di est li plus poissans de tous lez autres. 	40
60	des qu’il a Argon mon frere resuscité, 		
61|62	qu’il est Diex sans per.|Atant se laisserent tuit cil de la place chaoir as piés Joseph 	A cel mot se laisserent tout cheoir as pies ioseph. 	41
63	et distrent a haute vois : « Sire, nos nos metons del tot en vostre conseil; 	et dirent a hautes vois Sire nous sommes a vous del tout. 	42
64	se nos avons par mescreance foloié ça en arieres, nos somes prest de lamendier a vostre los ne jamés ne ferom rien 	et se nous auons par mesconnissance folie faite. nous sommes prest de lamenderEnseignies nous 	43
65|66	qui encontre vostre volenté soit. Enseigniés nos quel loi nos devom tenir et en quel maniere, |et nos la tendrom. »	quel loy nous deuons tenir. 	44
67	Ensi furent cil del chastel converti et baptisié. 	Et ensi furent cil del castel conuerti. 	45
68	Et quant li seneschals	Et quant li senescaus 	46
69|70	qui avoit feru Joseph par mi la cuisse |vir 	qui lauoit feru parmi la quisse vit 	47
71	que tuit se crestienoient, 	que tuit receuoient baptesme. 	48
72	si reconuit oiant tot le pueple 	si reconnut oiant tous	49
73	comment il avoit feru Joseph	comment il auoit feru ioseph 	50
74	et comment l’espee estoir brisiee, « 	et comment sespee auoit este brisiie. 	51
75	et je cuit, fet il, 	Et iou quit fait il 	52
76|77	que vos en troverois l’autre moitié en sa cuisse.» |Lors i fist Mategrant garder. 	que vous troueres lautre moitie en sa quisse. ors fist mathagrans garder en la quisse ioseph 	53
78	si troverent l’espee; 	si troua on la piece de Llespee 	54
79	et quant virent ce, 	Et quant il uirent chou 	55
80	si en furent molt esmaié; 	si en furent esbahi.	56
81	si dist Mategrant: «Sire, 	Et lors dist mathagrans. sire 	57
82|83	comment portois vos garir? — Bien,|se Dieu plest fist Joseph, 	comment porres vous garir. bien fet il se dieu plaist. 	58
84	mais vos serois avant sanés de la plaie de vostre chief., 	mais vous seres aincois garis de la plaie |que vous aues en la teste. 	59|60
85	Lors fist aporter le remanant de l’espee ou le pont 	Lors fist erranment aporter la piece de lespee ou li posilns 	61
86	et le heut estoit, 	et li heus estoit 	62
87	si fist le seigne de la crois sor la plaie Mategrant 	si fist le signe de la vraie crois sor la plaie. 	63
88	et ele fu tantost garie. 	et elle fu tantost garie.	64
89	Puis traist hors de sa char la piece de l'espee 	puis traist hors de sa quisse le piece de lespee 	65
90|91	qui dedens estoit; mes|trop se merveillierent tuit cil 	mais moult sesmerueillent tout cil 	66
92	qui la virent, 	quil le virent 	67
93	kar au retraire n’issi de la plaie gote de sanc, 	quar au retraire nen virent il issir goute de sanc. 	68
94	et l’espee estoit si clere et si blanche 	Et lespee estoit si clere et si blance kil sambloit bien kelle neust onkes entre en char. 	69
95	qu’il sambloit 	si sesmierueille tous li pules 	70
96|97	c’onques ne fust en char entree De ce se merveilla tos li pueples, |et quant Josepf fint les ll. moitiés del brant, 	Et quant ioseph tint lez. ij. pieces de lespee si dist. Espee ne seras resoldee deuant chou 	71
98|99	si dist : « |Ha, espee jamés ne seras soldee devant 	que li mieldres cheualiers del monde te tenra entre sez mains. 	72
100	que cil te tendra a ses mains 	et chiert cil 	73
101	qui les hautes aventures del Graal devra assomer; 	qui lez hautes auentures del saint graal metera à fin. 	74
102	mais si tost com il te tendra,	Mais si tost	75
103	si rejoindras a force, 	comme il te tenra reioindront lez. ij. pieces ensamble. 	76
104	Et cele partie 	Et celle partie ki en ma 	77
105|106	qui en ma char entra ne sera jamés veue nule fois |que sanc n’en isse, 	car entra ne sera iamais ueue ke li sans nen isse 	78
107|108	tant que cil |qui la soudera la tiegne. » 	deuant ke cil le tiengne. 	79
109	Ensi jura loseph de l’espee,	Ensi iuga ioseph de lespee	80
110	et lors furent par le chastel crestienez. 	Adont furent baptisie et crestienne tout li sarrazin del castel:. 	81
111	Si vesqui puis Argon VIll. ans; 	si uesqui argon. viii. iorz; 	82
112	et quant loseph se parti del chastel, 	et quant ioseph se parti dou chastel. 	83
113	si refindrent laiens l’espee	si retindrent laienz lespee 	84
114	et la garderent a grant chierté 	et la garderent en grant chierte. 	85
115	tant que je la conquis oan a molt grant paine. 	tant que ge la conquis com a grant paine 	86
116	Et bien sachiés 	et bien sachoiz 	87
117	que je i oi molt grant travail, 	que gi oi moult grant trauail einz 	88
118	ains que l’euisse par devers moi; 	que ge le leusse par deuers moi. 	89
119	et puis que je l’oi, 	Et puis	90
120	vos di je bien 	que iou loi conquise 	91
121	qu’ele ne fu traite del fuere iors orendroit: 	ne fu elle traite fors ore. 	92
122	si la port aventure trover celui 	si la port toz iorz ouec moi. |por ce que ge cuidoie par aucune auenture trouer celui 	93|94
123	qui la rejoinsist, 	qui la reioinsist. 	95
