0|1	Or dit li contes |que, 	OR dist le compte 	0
2	quant mesire Gauvain 		
3|4	se fu partis d’Estor,|que a il erra tot le droit chemin de la forest 	que quant monsieur gauuain se fut parti de hector il erra tout le chemin de la forest 	1
5|6	tant|que ce vint aprés none. 	tant qu il fut pres de nenne/ 	2
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	et lors uist il sur destre ung pauillon tendu pres de une fontaine 	3
8|9	por savoir|qui dedens est, 	si tourna celle part. 	4
10	et quant il vient a Puis, 	Et quant il uint a luys 	5
11	si voit dedens jusqu’a VI. homes 	si trouua hommes 	6
12|13	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, |si en avoit il grant talent; 	qui mengoient iusques a .ui. monsieur gau. ne auoit mengie de tout le iour/ il se deschendist 	7
14	et por ce descent il, 		
15|16	si atachie son destrier a un arbre |et pent son escu a une branchie, 	et atacha son cheual a ung arbre/ 	8
17|18	puis entre el paveillon|et salue cels 	n sen escu a ung aultre puys entra dedens le pauillon 	9
19	qui al mengier seoient; 	et sallua la compagnie: 	10
20	mais il n’i celui 	mes il ny a celluy 	11
21	qui mot li die, 	qui ung mot luy die/ 	12
22	ains le regardent tuit molt felenessement. 	ains le regardent tous menlt fellenneusemet. 	13
23	Et quant il voit 	Et quant il uist 	14
24	qu’il ne respondront rien, 	quilz ne respendirent riens/ 	15
25	si ne laisse mie por ce	si ne lessa pas pour ce 	16
26	qu’il ne s’asiee, i’espee çainte, 	quil ne se assiesse lespee chainte/ 	17
27	et oste son hialme de sa teste	et oste son heaulme de sa teste 	18
28	et le met delés lui; 	et le mist empres luy 	19
29|30	puis commence a mengier molt durement, |comme cil 	puis commence a menger comme celluy 	20
31	qui grant fain avoit, 	qui grant fain auoit/ 	21
32	et dist a celui delés 	et dist a celluy empres	22
33	cui il seoit «Mengiés, bials sire, 	qui il se seoit/ mengies 	23
34|35	et fetes bele chiere ! — |En non Dieu, sire chevaliers, bele chiere ne puis je mie fere de mon mengier, 	et si faictes benne chere Eu nen dieu dist le cheualier/ belle chere ne puis ie pas faire de mon mengier 	24
36	que vos mengiés devant moi; 	que uous prenes cy deuant moy/ 	25
37|38	kar par aventure ausi grant talent avoie je de mengier |com vos avés : 	car par aduanture aussi grant tallent auois ie de mengier come uous/ 	26
39	si vos deffent 	si uous deffens 	27
40|41	que vos plus ne adesois, |lar par mon chiet vos le porriés bien comparer. » 	que uous au mengier ne tendes plus la main/ 	28
42	Et tuit ii autre dient bien 	et tous les aultres dient 	29
43	que s’il ne s’en vet, il l’ocirront; 	que se mensieur gau. ne sen ua |quilz le occhirent/ 	30|31
44	et il dist 	et il dist 	32
45	que ia por els tos ne s’en remuera, « 	que ia pour eulx ne se mouuera/ 	33
46	mais de mon cheval, fet il, me poisse 	mes de mon cheual me poise 	34
47	qui n’a que mengier. a» 	qui na gueres que mengier 	35
48	Lors saillent en estant tuit a et corent as haches et as espees 	Lors saillent en estant tous ceulx de leans |et courent aux haches et aux espees. 	36|37
49	dont il avoient a plenté. 	Et	38
50	Quant mesire Gauvain voit ce, 	quant mensieur gau. uist ce 	39
51	si lace son hialme 	si lache son heaulme 	40
52	et cort a son escu. 	et court a son escu la |ou il lauoit lessie: 	41|42
53	Et cil vienent les espees traites 	et ceulx lui uindrent les espee traictes 	43
54	por lui ocire, 	pour luy occhire/ 	44
55	et il n'en refuse nul 	et il nen reffuse nul/ 	45
56	qui al devant li viegne, 		
57	ains fiert le premier	ains fiert le premier 	46
58|59	qu’il encontre a ce |qu’il estoit desarmés, si durement 	quil encentre 	47
60	qu’il li fent la teste en II. moitiés », 	si quil luy fent la teste en deux moitties 	48
61	et cil chiet mors. 	et il chiect mort/ 	49
62	Et il recort sus as autres 	et il recourt sus a laultre et le premier 	50
63|64	qui lor pooir faisoient de lui blecier e : |si en fiert si l’un 	quil encentra apres il lui couppa le bras 	51
65|66	qu’il li trenche le bras par entre l’espaule et le coute. |Et li autre tornent en fuie, 	et le coste par entre lespaulle, les aultrre tournent en fuite 	52
67	quant il voient lor compaignons si atornez. 	quant il y uirent leurs compoignens si actournes. 	53
68	Et mesire Gauvain nes deigne plus enchaucier, 	Et mensieur gau. ne les daigne plus enchassier 	54
69	ains monte en son cheval 	ains mente sur son cheual 	55
70	et se remet en son chemin 	et se remist en son chemin	56
71	et erre jusqu'aprés vespres 	et erra iusques a uespres 	57
72	tant qu’il vient en une grant valee	tant quil uint en une grande uallee:	58
73|74	et esgarde desos Iui el fons del val; |si voit I. petit chastel molt bien seant, 	et il uist au fons du ual ung chasteau moult bien seant	59
