0	Or dit li contes 	Or dice el conto 	0
1|2	que, |quant mesire Gauvain 	che quando monsignor Galvano si fu partito da Astore di Mare 	1
3	se fu partis d’Estor,	che si fu messo nella via |che-lle lettere gli difendieno, 	2|3
4	que a il erra tot le droit chemin de la forest 	che va tutto el diritto camino della foresta 	4
5|6	tant|que ce vint aprés none. 	tanto che ciò venne apresso nona. 	5
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	Allor vide sopra destra uno padiglione tenduto allato a uno ruscello d’una fontana. |Elli torna immantanente in quelle parti 	6|7
8	por savoir	per sapere	8
9	qui dedens est, 	chi di dentro era, 	9
10	et quant il vient a Puis, 	e quand’e' venne all’entrata, 	10
11	si voit dedens jusqu’a VI. homes 	si vide dentro insin qua a sei uomini 	11
12|13	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, |si en avoit il grant talent; 	che mangiavano. 	12
14	et por ce descent il, 	Monsignor Galvano non avea mangiato in tutto el giorno, 	13
15	si atachie son destrier a un arbre 	si apicca suo destrieri a uno albero 	14
16	et pent son escu a une branchie, 	e suo scudo pende a uno ramo; 	15
17	puis entre el paveillon	poscia si mette nel padiglione 	16
18	et salue cels 	e saluta quelli 	17
19	qui al mengier seoient; 	ch’al mangiare erano, 	18
20	mais il n’i celui 	ma e' non v’à colui 	19
21	qui mot li die, 	che motto gli dica, 	20
22	ains le regardent tuit molt felenessement. 	anzi el riguardano molto fellonessamente; 	21
23	Et quant il voit 	e quand’e vide 	22
24	qu’il ne respondront rien, 	che non gli risponderanno nulla, 	23
25	si ne laisse mie por ce	si non lascia mica per ciò 	24
26	qu’il ne s’asiee, i’espee çainte, 	che non s’asega, la spada cinta, 	25
27|28	et oste son hialme de sa teste|et le met delés lui; 	e trae suo elmo di sua testa e l mise dallato a llui. 	26
29	puis commence a mengier molt durement, 	Poscia comincia a parlare molto invisiosamente 	27
30	comme cil 	come colui 	28
31	qui grant fain avoit, 	che gran fame avea, 	29
32	et dist a celui delés 	e disse a colui 	30
33	cui il seoit «Mengiés, bials sire, 	che dallato lui sedeva: Mangiate, bel sire, 	31
34	et fetes bele chiere ! — 	e fate bella ceral 	32
35	En non Dieu, sire chevaliers, bele chiere ne puis je mie fere de mon mengier, 	—A nome di Dio, sire cavaliere, disse quelli, bella cera non posso io mica fare di mi' mangiare, 	33
36	que vos mengiés devant moi; 	ché vo' mangiate davanti 	34
37	kar par aventure ausi grant talent avoie je de mengier 	me;'ché per aventuraaltresi gran talento avea io di mangiare 	35
38	com vos avés : 	come voi abiate, 	36
39	si vos deffent 	si vo difendo 	37
40	que vos plus ne adesois, 	che vo' più non vi mettiate la mano, 	38
41	lar par mon chiet vos le porriés bien comparer. » 	ché, per lo mi capo. vo' la potrete bene comperare». 	39
42	Et tuit ii autre dient bien 	E tutti gli altri dicono bene 	40
43	que s’il ne s’en vet, il l’ocirront; 	che se monsignor Galvano no se ne va, |che-ll’uccidranno, 	41|42
44	et il dist 	ed e' dice 	43
45	que ia por els tos ne s’en remuera, « 	che già per loro tutti non si moverà, 	44
46	mais de mon cheval, fet il, me poisse 	ema di mi' cavallo, diss’elli, mi pesa molto 	45
47	qui n’a que mengier. a» 	che non à che mangiare». 	46
48	Lors saillent en estant tuit a et corent as haches et as espees 	Allora salgono in istante tutti quelli di là entro |e corsono ad acciaie 	47|48
49	dont il avoient a plenté. 	ed a spade, |donde là entro n’avea grande quantita. 	49|50
50	Quant mesire Gauvain voit ce, 	PQuando monsignor Galvano vide ciò, 	51
51	si lace son hialme 	si laccia immantanente suo elmo in suo capo 	52
52	et cort a son escu. 	e corre a suo scudo là|ov’elli l’avea lasciato; 	53|54
53|54	Et cil vienent les espees traites |por lui ocire, 	e que' gli corono, le spade tratte, per lui uccidere, 	55
55	et il n'en refuse nul 	ed e' non ne rifiuta niuno 	56
56	qui al devant li viegne, 	che davanti gli vegna, 	57
57	ains fiert le premier	anzi fiede el primaio 	58
58	qu’il encontre a ce 	ch’elli incontra, 	59
59	qu’il estoit desarmés, si durement 	acciò |ch’egli era disarmato, si duramente 	60|61
60	qu’il li fent la teste en II. moitiés », 	che gli fende la testa in due metà, 	62
61	et cil chiet mors. 	e que cade morto. 	63
62	Et il recort sus as autres 	Poscia corre suso agli altri 	64
63	qui lor pooir faisoient de lui blecier e : 	che loro podere facieno di lui uccidere, 	65
64	si en fiert si l’un 	si ne fiede si l’uno 	66
65	qu’il li trenche le bras par entre l’espaule et le coute. 	che gli trinca il braccio intra la spalla e lo seudo, 	67
66	Et li autre tornent en fuie, 	e gli altri tornano in fuga 	68
67	quant il voient lor compaignons si atornez. 	quand’e' vidono loro compagnoni si atornati. 	69
68	Et mesire Gauvain nes deigne plus enchaucier, 	E monsignor Galvano non si travaglia incacciargli, 	70
69	ains monte en son cheval 	anzi monta in su' cavallo 	71
70	et se remet en son chemin 	e si rimette in suo camino, 	72
71	et erre jusqu'aprés vespres 	e va insino |qu’apresso a vespero 	73|74
72	tant qu’il vient en une grant valee	tanto |ch’elli giunse in una gran vallata; 	75|76
73	et esgarde desos Iui el fons del val; 	ed elli isguarda di sotto lui nel fondo della valle, 	77
74	si voit I. petit chastel molt bien seant, 	si vide uno castello molto bello e ben sedente, 	78
75	kar il estoit clos d’eve tot entor et de buens murs bateilliés. Il torne son cheval cele part, 	ch’egli era chiuso di riviera tutto intorno e di muro battagliato. |Immantanente si torna monsignor Galvano in quelle parti, 	79|80
76	kar il i voldra la nuit gesir, 	ché vorrà là entro stanotte essere a ostello. 	81
77	et est venus jusqu’a l’eve; 	Si è venuto insin qua su l’acqua, 	82
78	si trueve un pont de fust 	si vi truova uno ponte di legno per	83
		dove l’uomo passava al castello, 	84
79	par ont l’en passoit el chastel ».	e passa el ponte |e si mette di dentro. 	85|86
80	Quant il fu venus en la maistre rue, 	E quand’egli è venuto alla mastra ruga, 	87
81	si chevalche vers la forteresce de laiens; 	si cavalca inverso la mastra fortereza di là entro |e agiugne una torre. 	88|89
82	et quant il en aproche, 	a |quand’e' la risguarda, 	90|91
83	si le prise trop, kar c’est la plus riche et la plus fors 	si-lla pregia troppo, |ché ciò è la più ricca e la più forte 	92|93
84	que jamés il voie de son grant. Il regarde sor destre 	ch’elli unque vedesse mai di su' grande. |E elli isguarda di sopra destra partita 	94|95
85	et ot crier une feme assés pres de lui, 	e udi gridare una femina assai presso di lui, ciò gli 	96
86|87	ce li samble; |et il point maintenant cele part 	sembia;Ped e' pugne in quelle parti 	97
88	ou il ot cele 	ov’elli intende	98
89	qui crie 	che quella grida 	99
90	et voit en une grant sale, par terre », une damoisele en une cuve de marbre	e vide, inn-una gran sala terena, una damigella in una conca di marmo 	100
91	qui crioit si durement: « Sainte Marie, 	che gridava molto duramente: «Santa Maria, 	101
92	qui me getera de ci ?» Mesire Gauvain acort cele part 	chi mi gitterà di qui?». Monsignor Galvano brocca in quelle parti 	102
93|94	et voit la cuve |qui est bien la moitié plaine d'eve, 	e vide la concache bene era la metà piena, 	103
95	si qu’a la damoisele i avient jusqu’amont le nombril. 	sicché l’acqua dava alla damigella insin qua presso al petto, 	104
96	Et quant ele le voit, 	e si tosto com’ella vide monsignor Galvano, 	105
97	si li dist: « 	si gli disse: 	106
98	Ha, sire chevaliers, 	Hal, gentil cavaliere, per Dio e per dibonarità, 	107
99	por Dieu, getés me de ci !» 	che voi mi gittiate di qui ovi'sono! 	108
		Si m’arete tratta della maggior pena	109
100	Lors gete les mains 	ov’unche damigella fosse»s. |Mantanente gitta le mani monsignor Galvano 	110|111
101	et r’aert par mi les flans, 	e la piglia per me' fianchi, 	112
102|103	mais il ne la puet remuer |por pooir 	ma unque no-lla può rimuovere per podere 	113
104	qu’il ait; 	ch’elli abbia.	114
105|106	si s’i essaie Il. fois |ou trois, 	eSi vi si provò elli due volte o tre, 	115
107	et quant cele voit 	e quando la damigella vide 	116
108	qu’il ne la remuera, 	che no-lla potrà rimuovere, 	117
109	si li dist: « 	si gli disse: 	118
110	Ha, sire chevaliers, failli avés. 	aHal, sire cavaliere, fallito avete a questa aventura. 	119
111	Ore poés dire seurement 	Or sapiate veracemente 	120
112	que ja de cest chastel 	che già di questo castello non uscirete sanza onta 	121
113	ne partirois sans honte avoir. — Damoisele, fet il,	avere.— Damigella, disse monsignor Galvano, 	122
114|115	se je ne vos ai delivree, |ce poise moi, 	si non v’ô io dilivera ciò pesa ad me, 	123
116	et je en ai fet si mon pooir 	ch’i' n’ô, diss'elli, fatto tutto mio podere, 	124
117	que je n’en doi estre blasmés. 	si non ne debbo essere biasimato; 	125
118	Mes or vos voldroie je proier par amor 	ma io vorei pregare, per Dio, 	126
119	que vos me deissiés 	che vo' mi diciate 	127
120	comment vos estes ci et par quele aventure 	come vo ci foste |e per quale aventura, 	128|129
121	et se vos en porrois estre delivree. — 	e se vo' ne potrete essere dilivera. 	130
122	Par foi, fet ele, je sui en tele maniere 	— Il eper fé, diss’ella, io sono in tale maniera 	131
123	que g’i ai totes les dolors 	ch’i' ò tutti e, dolori|e sofero tutte l’angosce 	132|133
124	et sueffre totes les anguoisses, ne n’en serai hors devant 	che femina potrebbe sofferire, |né non uscirò davanti	134|135
125	que li mieldres chevaliers del monde m’en getera. 	che l miglior cavaliere del mondo me ne trarrà. 	136
126	Mais l’achoisons 	Ma la cagione 	137
127	por quoi g’i sui mise ne savrois vos ja ne vos ne autres par moi, 	perch’io ci sono messa non saprete vo già, |né voi né altri, per me, 	138|139
128|129	devant |que cil sera venus 	davanti che que sarà venuto 	140
130	qui de ci me getera: 	che di qui mi gitterà; 	141
131	et sa venue est assés pres, 	e sua venuta est assai presso, 	142
132	kar ce sera en cest an. — 	ché ciò sarà in questo anno. 	143
133	Et comment, fet il, est ce 	—sCome, damigella, disse monsignor Galvano, est ciò 	144
134	que vos soffrés tantes dolors ? — 	che vo patite tanti dolori? 	145
