0|1	Or dit li contes |que, 	Agora dize el quento 	0
2|3	quant mesire Gauvain |se fu partis d’Estor,	que quando don Galuan se partio de estor 	1
4	que a il erra tot le droit chemin de la forest 	que entro porvn camino dela floresta 	2
5	tant	e andando tanto 	3
6	que ce vint aprés none. 	fasta ora de nona 	4
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	y entonces vido asu diestra vna tienda y fue alla 	5
8|9	por savoir|qui dedens est, 	por ver quien estaua dentro 	6
10	et quant il vient a Puis, 	y quando llego ala puerta dela tienda 	7
11	si voit dedens jusqu’a VI. homes 	bio mas que seis omes 	8
12	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, 	que estauan comiendo 	9
13|14	si en avoit il grant talent; |et por ce descent il, 	y don galuan no hauia comido aquel dia 	10
15	si atachie son destrier a un arbre 	e ato su cauallo a vn arbol 	11
16	et pent son escu a une branchie, 	e colgo su escudo de vna Rama del arbol 	12
17|18	puis entre el paveillon|et salue cels 	y despues entro enla tienda 	13
19|20	qui al mengier seoient; |mais il n’i celui 	y saludo a aquellos que estauan comiendo mas ellos no lo Respondieron palabra 	14
21|22	qui mot li die, |ains le regardent tuit molt felenessement. 	antes le cataron muy sañudamente 	15
23	Et quant il voit 	e quando don galuan vio 	16
24|25	qu’il ne respondront rien, |si ne laisse mie por ce	que le non Respondian palabra tiro el yelmo dela cabeza 	17
26|27	qu’il ne s’asiee, i’espee çainte, |et oste son hialme de sa teste	e asentose conellos ala mesa su espada çinta 	18
28|29	et le met delés lui; |puis commence a mengier molt durement, 	e començo a comer muy de Reçio 	19
30|31	comme cil |qui grant fain avoit, 	como aquel que muy grande fambre tenia 	20
32	et dist a celui delés 	e dixo aquellos 	21
33|34	cui il seoit «Mengiés, bials sire, |et fetes bele chiere ! — 	que ante el estauan comed señores e fazed buena cara Pardios dixo el señor dela tienda buena cara yo non puedo fazer 	22
35	En non Dieu, sire chevaliers, bele chiere ne puis je mie fere de mon mengier, 	pormi vianda 	23
36	que vos mengiés devant moi; 	que comedes antemi 	24
37	kar par aventure ausi grant talent avoie je de mengier 	ca por auentura tamaño talente he della 	25
38|39	com vos avés : |si vos deffent 	como vos habedes e ansi vos defiendo 	26
40	que vos plus ne adesois, 	que non metades mas la mano enella 	27
41	lar par mon chiet vos le porriés bien comparer. » 	Ca lo podriades muy caramente comprar pormi cabeza 	28
42	Et tuit ii autre dient bien 	e todos los otros deçian 	29
43	que s’il ne s’en vet, il l’ocirront; 	que mucho hera loco don galuan por fazer aquello que fazia ya porvos todos dixo 	30
44	et il dist 	don galuan 	31
45	que ia por els tos ne s’en remuera, « 	de aqui |no me leuantare 	32|33
46	mais de mon cheval, fet il, me poisse 	mas de mi cauallo me pesa 	34
47	qui n’a que mengier. a» 	que no tiene que comer 	35
48	Lors saillent en estant tuit a et corent as haches et as espees 	entonçes se leuantaron aquellos que ala mesa estauan asentados |e fueron a tomar fachas y espadas 	36|37
49	dont il avoient a plenté. 	que ay estauan |que hauia ay nuebas 	38|39
50|51	Quant mesire Gauvain voit ce, |si lace son hialme 	e quando don galuan aquello vido enlaço su yelmo 	40
52	et cort a son escu. 	e fue a do estaua su escudo |e tomolo 	41|42
53	Et cil vienent les espees traites 	e los dela tienda fueron todos contrael con hachas y espadas 	43
54	por lui ocire, 	porlo matar 	44
55	et il n'en refuse nul 	mas don galuan no los Rehuso 	45
56|57	qui al devant li viegne, |ains fiert le premier	antes firio dela espada al primero que encontro porçima dela cabeza 	46
58	qu’il encontre a ce 	que sela fendio en dos partes 	47
59	qu’il estoit desarmés, si durement 	ca estaua desarmado 	48
60	qu’il li fent la teste en II. moitiés », 		
61	et cil chiet mors. 	e Cayo luego muerto 	49
62	Et il recort sus as autres 	entonçes se dexo correr a los otros 	50
63	qui lor pooir faisoient de lui blecier e : 	e firio avno asi quele corto el braço y las costillas por atras dela espalda 	51
64|65	si en fiert si l’un |qu’il li trenche le bras par entre l’espaule et le coute. 	e los otros 	52
66|67	Et li autre tornent en fuie, |quant il voient lor compaignons si atornez. 	enque esto bieron començaron a fuir 	53
68|69	Et mesire Gauvain nes deigne plus enchaucier, |ains monte en son cheval 	mas don galuan no quiso yr enpos dellos ante subio ensu cauallo 	54
70|71	et se remet en son chemin |et erre jusqu'aprés vespres 	e metiose ensu camino e andado tanto 	55
72	tant qu’il vient en une grant valee	que llego a vn balle grande 	56
73	et esgarde desos Iui el fons del val; 	y cato ante si 	57
74	si voit I. petit chastel molt bien seant, 	y vio vn castillo muy bien asentado 	58
75	kar il estoit clos d’eve tot entor et de buens murs bateilliés. Il torne son cheval cele part, 	ca era çercado enderredor de muy buen muro e fuerte |e don galuan corrio su cauallo contrael castillo 	59|60
76	kar il i voldra la nuit gesir, 	ca queria aquella noche aluergar enel 	61
77|78	et est venus jusqu’a l’eve; |si trueve un pont de fust 	e desque llego avna agua pasola a cauallo porvna puente 	62
79	par ont l’en passoit el chastel ».	e desque llego al castillo entro enel 	63
80	Quant il fu venus en la maistre rue, 	e fue porvna gran Rua tanto 	64
81	si chevalche vers la forteresce de laiens; 	que llego al alcaçar 	65
82	et quant il en aproche, 	y desque y llego el la preçio |mucho 	66|67
83	si le prise trop, kar c’est la plus riche et la plus fors 	ca era la mas Rica que el nunca viera |e la mas fuerte desu grandez 	68|69
84	que jamés il voie de son grant. Il regarde sor destre 	e don galuan paro mientes asu diestra 	70
