0	Or dit li contes 		
1	que, 		
2	quant mesire Gauvain 		
3	se fu partis d’Estor,		
4	que a il erra tot le droit chemin de la forest 	et Cheualche le droit chemin en la forest. 	0
5|6	tant|que ce vint aprés none. 	tant que chou uint pres de nonne. 	1
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	Et lors vit sor destre. j. paueillon tendu les le rui dune fontaine. |Et lors torna cele part maintenant 	2|3
8	por savoir	por sauoir	4
9	qui dedens est, 	qui dedens estoit. 	5
10	et quant il vient a Puis, 	Et quant il vint a luis del paueillon. 	6
11	si voit dedens jusqu’a VI. homes 	si troua dedens iusques a. vi. hommes 	7
12|13	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, |si en avoit il grant talent; 	et estoient assis a vne table por mangier. 	8
14	et por ce descent il, 	Et mesires Gauuain descent 	9
15	si atachie son destrier a un arbre 	et atache son cheual à . j. arbre 	10
16	et pent son escu a une branchie, 	et y pent son escu 	11
17	puis entre el paveillon	puis entre el paueillon. 	12
18	et salue cels 	si salue ceus 	13
19	qui al mengier seoient; 	qui au mengier seoient. 	14
20	mais il n’i celui 	et il ni ot celui 	15
21	qui mot li die, 	qui mot li die. 	16
22	ains le regardent tuit molt felenessement. 	ains le regardent moult felenessement. 	17
23	Et quant il voit 	Et quant il vit 	18
24	qu’il ne respondront rien, 	quil ne li réspondent riens 	19
25	si ne laisse mie por ce	Si ne laisse mie pour chou 	20
26|27	qu’il ne s’asiee, i’espee çainte, |et oste son hialme de sa teste	quil ne se soit assis auec euls lespee chainte et Oste son heaume de sa teste. 	21
28	et le met delés lui; 	et le met deles lui. 	22
29|30	puis commence a mengier molt durement, |comme cil 	puis mangue moult durement comme cils 	23
31	qui grant fain avoit, 	qui moult grant fain auoit. 	24
32	et dist a celui delés 	Et dist a celui 	25
33	cui il seoit «Mengiés, bials sire, 	qui deles lui seoit. |Biaus sire mangies 	26|27
34	et fetes bele chiere ! — 	et faites lie chiere.	28
		Non dieu sire cheualiers 	29
35	En non Dieu, sire chevaliers, bele chiere ne puis je mie fere de mon mengier, 	ce dist cils bele chiere |ne puis iou faire de mon mangier 	30|31
36	que vos mengiés devant moi; 	que vous mangies deuant moi 	32
37	kar par aventure ausi grant talent avoie je de mengier 	Car par auenture aussi grant mestier en ai iou 	33
38	com vos avés : 	comme vous aues. 	34
39	si vos deffent 	Si vous desfench	35
40	que vos plus ne adesois, 	que vous ni metes plus la main 	36
41	lar par mon chiet vos le porriés bien comparer. » 	quar par mon chief vous le porries bien comparer. 	37
42	Et tuit ii autre dient bien 	Et tout li autre dient a une vois. 	38
43	que s’il ne s’en vet, il l’ocirront; 	sil ne sen uait il locirront 	39
44	et il dist 	Et il dist 	40
45|46	que ia por els tos ne s’en remuera, « |mais de mon cheval, fet il, me poisse 	que ia	41
47	qui n’a que mengier. a» 	por aus tous ne sen partira. 	42
48	Lors saillent en estant tuit a et corent as haches et as espees 	Lors saillent cil as haches et as espees. 	43
49|50	dont il avoient a plenté. |Quant mesire Gauvain voit ce, 	Et quant mesires Gauuain uit chou 	44
51	si lace son hialme 	si lache son heaume	45
52	et cort a son escu. 	et prent son escu. 	46
53	Et cil vienent les espees traites 	Et cil sen vienent uers lui lez espees traites 	47
54	por lui ocire, 	por lui ocirre. 	48
55	et il n'en refuse nul 	Et il nen refuse nul. 	49
56	qui al devant li viegne, 	ains trait lespee	50
57|58	ains fiert le premier|qu’il encontre a ce 	et fiert si le premier 	51
59|60	qu’il estoit desarmés, si durement |qu’il li fent la teste en II. moitiés », 	que il ataint 	52
61	et cil chiet mors. 	quil labat mort. 	53
62|63	Et il recort sus as autres |qui lor pooir faisoient de lui blecier e : 	et	54
64	si en fiert si l’un 	puis en fiert. j. autre 	55
65	qu’il li trenche le bras par entre l’espaule et le coute. 	si quil li cope le bras. 	56
66	Et li autre tornent en fuie, 	Et li autre tornent en fuies. 	57
67|68	quant il voient lor compaignons si atornez. |Et mesire Gauvain nes deigne plus enchaucier, 	mais mesires Gauuain nen daigna onques. j. encachier. 	58
69	ains monte en son cheval 	Ains monta sor son cheual 	59
70	et se remet en son chemin 	et se remist en son chemin. 	60
71	et erre jusqu'aprés vespres 	Si a tant ale 	61
72	tant qu’il vient en une grant valee	quil vint en vne grant ualee 	62
73|74	et esgarde desos Iui el fons del val; |si voit I. petit chastel molt bien seant, 	Et il regarde deuant lui 	63
75|76	kar il estoit clos d’eve tot entor et de buens murs bateilliés. Il torne son cheval cele part, |kar il i voldra la nuit gesir, 	si uit vn castel moult bien seant. clos daigue tout environ. 	64
77|78	et est venus jusqu’a l’eve; |si trueve un pont de fust 	Et il torne maintenant cele part si est venus iusques a laigue 	65
79|80	par ont l’en passoit el chastel ».|Quant il fu venus en la maistre rue, 	et entre en la maistre rue. 	66
81|82	si chevalche vers la forteresce de laiens; |et quant il en aproche, 	Si cheualllehe 	67
83	si le prise trop, kar c’est la plus riche et la plus fors 	tant quil vint uers vne forteresce 	68
84|85	que jamés il voie de son grant. Il regarde sor destre |et ot crier une feme assés pres de lui, 	Si regarde desor destre si oy vne vois de femme asses pres de lui 	69
86|87	ce li samble; |et il point maintenant cele part 	ce li sambloit. ors point maintenant cele part. 	70
88|89	ou il ot cele |qui crie 	ou il ot oy la uois. 	71
90	et voit en une grant sale, par terre », une damoisele en une cuve de marbre	Si uit vne damoisele Len vne cuue de marbre 	72
91	qui crioit si durement: « Sainte Marie, 	qui crioit a hautes vois. sainte marie aiue 	73
92	qui me getera de ci ?» Mesire Gauvain acort cele part 	qui me getera de chi |Et mesires Gauuain point cele part 	74|75
93	et voit la cuve 	et uit la cuue 	76
94	qui est bien la moitié plaine d'eve, 	qui estoit demi plaine daigue	77
95	si qu’a la damoisele i avient jusqu’amont le nombril. 	si que la damoisele y auenoit iusques au nombril. 	78
96|97	Et quant ele le voit, |si li dist: « 	Et quant elle uit monseignour Gauuain 	79
98|99	Ha, sire chevaliers, |por Dieu, getés me de ci !» 	Si li dist. Sire cheualiers pour dieu getes moi de chi Lors giete mesires Gauuain lez mains 	80
100|101	Lors gete les mains |et r’aert par mi les flans, 	et lahert parmi les bras. 	81
102	mais il ne la puet remuer 	mais il ne la puet remuer 	82
103	por pooir 	pour pooir 	83
104	qu’il ait; 	quil ait. |Si	84|85
105|106	si s’i essaie Il. fois |ou trois, 	si assaie. ij. fois ou. iij. 	86
107	et quant cele voit 	Et quant cele uit 	87
108	qu’il ne la remuera, 	quil ne la remouera 	88
109	si li dist: « 	Si li dist. 	89
110	Ha, sire chevaliers, failli avés. 	ha : sire cheualiers failli aues a ceste auenture 	90
111	Ore poés dire seurement 	Or poes dire 	91
112	que ja de cest chastel 	que ia nen partires de chi 	92
113	ne partirois sans honte avoir. — Damoisele, fet il,	sans za honte |auoir Damoisele fait mesires Gauuain 	93|94
114|115	se je ne vos ai delivree, |ce poise moi, 	se iou ne vous ai deliuree ce poise moi. 	95
116	et je en ai fet si mon pooir 	Et sachies 	96
117	que je n’en doi estre blasmés. 	que ie en ai fait tout mon pooir. 	97
118	Mes or vos voldroie je proier par amor 	mais or vous proi par amors 	98
119|120	que vos me deissiés |comment vos estes ci et par quele aventure 	que vous me dites porcoi vous estes chi 	99
121	et se vos en porrois estre delivree. — 	et se par nul homme vous en porries estre ostee 	100
122	Par foi, fet ele, je sui en tele maniere 	Par foy fait elle iou sui en tel maniere	101
123	que g’i ai totes les dolors 	que iou y soeffre toutes les dolours 	102
124	et sueffre totes les anguoisses, ne n’en serai hors devant 	que femme nulle puist soffrir.|Ne ia nen serai getee deuant chou 	103|104
125	que li mieldres chevaliers del monde m’en getera. 	que li mieldres cheualiers del monde men getera. 	105
126|127	Mais l’achoisons |por quoi g’i sui mise ne savrois vos ja ne vos ne autres par moi, 	Mais loccoison porcoi iou y sui. ne saures vous ia par moi 	106
128	devant 	ne vous ne autres deuant chou |que cil	107|108
129|130	que cil sera venus |qui de ci me getera: 	qui men getera sera uenus. 	109
131	et sa venue est assés pres, 	et sa uenue est asses pres. 	110
132	kar ce sera en cest an. — 	quar che sera en chest an 	111
133	Et comment, fet il, est ce 	Comment fait il est chou 	112
134	que vos soffrés tantes dolors ? — 	que vous soffres tant de dolors. 	113
135|136	Comment? fet ele. Tastés |quels ceste eve est 	Che safulres vous fait elle 	114
137	et lors le savrois. » reve 	se vous tastes ceste aigue 	115
138|139	mais il ne la cuide l |ja avoir retraite a tens, 	quele elle est. 	116
140|141	kar |Lors mist mesire Gauvain l’une des mains dedens 	Lors mist mesires Gauuain ses mains en laigue. 	117
142	tant le trova chaude 	mais il ne le quida ia a tamps rauoir ostee.	118
143	qu’il cuide bien avoir la main perdue a tos jors mes. « Sire chevaliers, fet la damoisele, 	quar il quida la main auoir perdue Sire cheualiers fait elle. 	119
144	ore savés 	or saues vous bien 	120
145	quele anguoisse je sueffre. — 	quele dolour iou sench EN ceste maniere |que vous oies senti mesires Gauuain 	121|122
		que la damoisele soffroit grant torment et grant dolor. 	123
146	Certes, damoisele, fet il, ie ne voi pas 	Si li dist. |Certes damoisele iou ne sai 	124|125
147	comment vos puissiés durer. — 	comment vous puissies longuement durer en tel paine. 	126
148|149	Par foi, fet ele, |se je puisse morir par travail, je fuisse pieça morte.	par foy sire fait elle se iou peusse morir pour trauail. iou fuisse piecha morte. 	127
150	Mais a Damedieu ne plaist encore, 	Mais diex ne veult mie |que iou muire encore. 	128|129
151	lar il ne s’est pas encore vengiés d’un grant pechié 	Car il ne sest mie bien uengies dun pechie 	130
152	que je fis ja, 	que iou fis iadis. 	131
153	por quoi je sueffre ceste anguoisse 	porcoi iou sueffre ceste dolor	132
154	et cest torment. 	et cest trauail. 	133
