	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
0|1|2|3|4|5|6	Or dit li contes |que, |quant mesire Gauvain |se fu partis d’Estor,|que a il erra tot le droit chemin de la forest |tant|que ce vint aprés none. 	Or dit le comte |que quant messire gauuain |se fu party |quil erra tout le droit chemin de la fourest tant |que ce uint apreis nonne. 	et Cheualche le droit chemin en la forest. |tant que chou uint pres de nonne. 	OR dist le compte |que quant monsieur gauuain se fut parti de hector il erra tout le chemin de la forest |tant qu il fut pres de nenne/ 	OR dit li contes |que quant messires G. |ce fu partiz de h̾. |quil tote ior le droit chemin de la forest. |Tant que ce uint apres none. 	Agora dize el quento |que quando don Galuan se partio de estor |que entro porvn camino dela floresta |e andando tanto |fasta ora de nona 	Or dice el conto |che quando monsignor Galvano si fu partito da Astore di Mare |che si fu messo nella via |che-lle lettere gli difendieno, |che va tutto el diritto camino della foresta |tanto che ciò venne apresso nona. 
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	et lors uoit sur destre ung paueillon pres du roussel dune fontaine Il tourne celle part 	Et lors vit sor destre. j. paueillon tendu les le rui dune fontaine. |Et lors torna cele part maintenant 	et lors uist il sur destre ung pauillon tendu pres de une fontaine 	et lors uoit sor destre .i. pauillon tandu selonc le ru dune fontainne. |et il torne cele part 	y entonces vido asu diestra vna tienda y fue alla 	Allor vide sopra destra uno padiglione tenduto allato a uno ruscello d’una fontana. |Elli torna immantanente in quelle parti 
8|9	por savoir|qui dedens est, 	pour sauoir |qui est dedans et	por sauoir|qui dedens estoit. 	si tourna celle part. 	por sauoir|qui dedens est. 	por ver quien estaua dentro 	per sapere|chi di dentro era, 
10	et quant il vient a Puis, 	quant il y est 	Et quant il vint a luis del paueillon. 	Et quant il uint a luys 	et quant il uint dedens 	y quando llego ala puerta dela tienda 	e quand’e' venne all’entrata, 
11	si voit dedens jusqu’a VI. homes 	si uoit dedans .x. hommes 	si troua dedens iusques a. vi. hommes 	si trouua hommes 	si uoit iusqua .ui. homes 	bio mas que seis omes 	si vide dentro insin qua a sei uomini 
12|13|14|15|16	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, |si en avoit il grant talent; |et por ce descent il, |si atachie son destrier a un arbre |et pent son escu a une branchie, 	qui mangeoient a terre sur lerbe fresche |et messire gauuain nauoit mange de tout le iour |si en auoit grant talent. |et par ce descent et atache son destrier a ung arbre |et pend son escu a une branche	et estoient assis a vne table por mangier. |Et mesires Gauuain descent |et atache son cheual à . j. arbre |et y pent son escu 	qui mengoient iusques a .ui. monsieur gau. ne auoit mengie de tout le iour/ il se deschendist |et atacha son cheual a ung arbre/ 	qui manipient sor lerbe fresche. |et messires .G. nauoit menge de tout le ior. |Si on auoit il si grant mestier |que por ice dessent |et atache son destrier a une branche. 	que estauan comiendo |y don galuan no hauia comido aquel dia |e ato su cauallo a vn arbol |e colgo su escudo de vna Rama del arbol 	che mangiavano. |Monsignor Galvano non avea mangiato in tutto el giorno, |si apicca suo destrieri a uno albero |e suo scudo pende a uno ramo; 
17|18	puis entre el paveillon|et salue cels 	puis entre ou paueillon |et salue ceulx 	puis entre el paueillon. |si salue ceus 	n sen escu a ung aultre puys entra dedens le pauillon 	puis entre en pauillon. |et salue ciax 	y despues entro enla tienda 	poscia si mette nel padiglione |e saluta quelli 
19|20	qui al mengier seoient; |mais il n’i celui 	qui sceient au manger |Mais il ny a celuy 	qui au mengier seoient. |et il ni ot celui 	et sallua la compagnie: |mes il ny a celluy 	qui au mengier estoient. |mais il ni a celui 	y saludo a aquellos que estauan comiendo mas ellos no lo Respondieron palabra 	ch’al mangiare erano, |ma e' non v’à colui 
21|22	qui mot li die, |ains le regardent tuit molt felenessement. 	qui mot leur die |ains le regardent tous felonnessement 	qui mot li die. |ains le regardent moult felenessement. 	qui ung mot luy die/ |ains le regardent tous menlt fellenneusemet. 	qui mot li die. |Ains le regardent tuit mout felenestement et	antes le cataron muy sañudamente 	che motto gli dica, |anzi el riguardano molto fellonessamente; 
23	Et quant il voit 	Et quant il uit 	Et quant il vit 	Et quant il uist 	quant il uoit 	e quando don galuan vio 	e quand’e vide 
