0	Or dit li contes 	Or dice il conto 	0
1	que tant demora Lanceloz la ou la vielle l’ot mené 	che tanto dimora Lancelotto là |ove la vecchia l’ebbe menato 	1|2
2	qu’il ot passé. VI. semainnes 	ch’egli ebbe passate sei settimane. 	3
3|4	et lors se santi sains et haitiés et desirranz de porter armes. |Toz ne fust il mie encor bien gariz, 	Allor si senti sano e atato e disiderante di portare arme, tutto non foss’elli mica ben guarito ancora, 	4
5	se li anuioit li repos, 	si gli nvidiava il riposo, 	5
6	por ce qu’il avoit trop longuement geu, 	per ciò ch’elli aveva troppo lungamente giaciuto, 	6
7	ce li ert avis. 	ciò li era aviso. 	7
8	Et il se part de laienz 	Si si parte di là entro 	8
9	et les conmande toz a Deu et la vielle li ot aprestees unes armes bonnes et beles et un escu tout nuef; 	e li comanda a Dio, |e la vechia li ebbe apportate un’arme buone e forti e uno scudo tutto nuovo: 	9|10
10	si se mist en son chemin 	e elli si misse in su camino, 	11
11	et acueilli sa voie aprés la vielle.	si acolse sua via apresso la vechia. 	12
12	Quant il ot chevauchié dusqu’a midi, 	Quand’egli ebbe cavalcato insin qu’apresso mezodi, 	13
13	si ataint I. damoisele a l’entree d’une forest 	si agiugne una damigella, all’entrata d’una foresta, 	14
14	qui chevauchoit I. petit palefroi noir 	che cavalcava un piccol palafreno nero 	15
15	et pensoit moult durement,	e pensava molto duramente, 	16
16	et bien paroit a ses iauz 	e ben parea assuoi occhi, 	17
17	qu’ele avoit rouges et anflez 	ch’ella avea rossi e nfiati, 	18
18	qu’ele eust ploré. Il la salue 	ch’ella avea pianto. Elli la saluta,	19
19	quant il l’aproche, 	quand’e l’apresima, 	20
20	et ele lui ausi. « Damoisele, fait il vos me samblez moult couroucie 	e ella lui altresi: Damigella, diss’elli, |vo mi sembiate molto crucciata 	21|22
21	et je savroie volentiers l’achoison de vostre courouz. 	e io saprei volentieri la cagione di vostro cruccio; 	23
22	Et bien sachiez 	e ben sappiate 	24
23	que j'i metroie volentiers tout le bon conseil 	ch’i' vi metterei volentier pena e tutto il buon consiglio 	25
24	que je porroie — 	ch’i potrei. 	26
25	Certes, fait ele, il n’a home el monde fors Deu 	—-Al, certo, sire, disse ella, |e non à huomo al mondo, fôrse ldio, 	27|28
26	qui consoil i poïst metre, 	che consiglio vi potesse mettere, 	29
27	car de ce 	ché-cciò 	30
28|29	dont je cuit estre couroucie sont C. mile autre couroucie,|ne ce n’est? mie chose 	dond’io son crucciata son centomiglia altre crucciate: né ciò nonn-è mica cosa 	31
30	ou je perde seulement, 	ov’i' solamente perda, 	32
31	mais tuit li povre gentil home del monde 	ma tutti i poveri gentili huomini del mondo 	33
32	et tuit li riche de la Grant Bretaingne et d’autres terres. — Enon Dieu, damoisele, faît Lanceloz 	e tutti i ricchi della Gran Brettagna e dell’altre terre. |— A nome di Dio, disse Lancelotto, damigella, 	34|35
33	dont n’est a il mie merveille, 	dunque non è elli mica maraviglia 	36
34	se vos en estes couroucie 	se voi ne siete crucciata!	37
35	et je vos pri 	E i' vo priego 	38
36	que vos me diez 	che vo mi diciate 	39
37	que ce est, 	che ciò è, 	40
38	car puis que toutes genz le sevent, vos le poez bien dire, 	ché|poscia che tutte genti il sanno, 	41|42
39	ce m’est' avis. 	voi il mi potete ben dire, ciò m’è aviso, sanza misfatto. 	43
40	sanz meffait. — Sire, fait ele, jel vos dirai 	— Sire, diss’ella, |io il vi dirò,	44|45
41	puis que vos avez tel talant del savoir 	poscia che voi avete tal talento del sapere: 	46
42	et si me merellie mouit 	si-mmi maravigli ol molto	47
43	que vos nei savez, 	quando vo' nol sapete, 	48
44	car toz li mondes le set ja. 	ché tutto il mondo il sa. 	49
45	Voirs est, fait ele,	Ver è, diss’ella, 	50
		che mi' cruccio est di due cose: d’una mia sirocchia 	51
46	que mes couroz est de Jl. jor a force et d’un prodome	ch’un cavaliere prese l’altsrlo giorno a forza, |ee d’un produomo 	52|53
47	qui bien men venjast, 	che ben me ne vendicasse, 	54
48	s’il fust vis dusqu’a ore. 	s’elli fosse vivuto infino a ora, 	55
49	Mais il est morz 	ma elli è morto.	56
50	et si vos dirai ot prise ma seror a force ne randre ne la me voloit 	Si vo dirò |com'i' l so: elli fu vero 	57|58
		che quando l cavaliere ebbe pressa mia serocchia a forza, 	59
51	por proiere ne por donner, 	né render no la mi volea per plrjeghieri né per donare 	60
52	que ge m’esmui a aler a la cort le roi Artus 	ch’i' sapesse, simmi mossi ad andare alla corte del re Artù 	61
53	por faire ma clamor de ce 	per fare mi' chiamore di ciò 	62
54	que li chevaliers m’avoit fait sanz raison. 	che l cavaliere m’avea misfatto sanza ragione. 	63
55	Et quant je i fui venue n’a mie encor IIl. jorz, 	E quand’i' vi fu' venuta, non à mica ancora guari, 	64
56	si ne trouvai	si non trovai 	65
57	qui me respondist de riens, 	chi mi rispondesse di nulla, 	66
58	car tuit antandoient a plourer et a duel faire. 	ché tutti intendieno a piagnere |e a duol 	67|68
59	Et quant je vi ce, 	fare.Quand’i vidi ciò, 	69
60	si fui toute esbahie, 	si ne fu' tutta isbigottita, 	70
61	si priai a J. escuier 	si prega a uno sleudieri 	71
62	que il me deist 	ch’elli mi dicesse 	72
63	por quoi il faisoient tel duel 	perché facevano tal duolo. 	73
64	et il me dist 	ed e' mi disse 	74
65	que c’estoit por Lancelot de Lac	che ciò era per Lancelotto de Lac 	75
66	qui morz estoit. 	che mort’era. 	76
67	Et quant je vi 	“E quand’i vidi 	77
68	que je n’i porroie riens faire de ma besoingne, 	ch’i non vi potrei nulla fare di mia bisogna, 	78
