0	Or dit li contes 	OR dist li contes 	0
1	que tant demora Lanceloz la ou la vielle l’ot mené 	que tant demora lancelot la ou la uielle lot mene 	1
2	qu’il ot passé. VI. semainnes 	quil ot passe. vi. semaines. 	2
3	et lors se santi sains et haitiés et desirranz de porter armes. 	Et lors se senti il sains et haities |et desirans de porter armes. 	3|4
4	Toz ne fust il mie encor bien gariz, 	Encore ne fust il pas bien garis. 	5
5	se li anuioit li repos, 	se li anuioit li repos. 	6
6	por ce qu’il avoit trop longuement geu, 	por ce quil auoit|tant longement geu 	7|8
7	ce li ert avis. 	ce li iert auis. 	9
8	Et il se part de laienz 	Et il sen part de laiens. 	10
		si lez commande tous a dieu. 	11
9	et les conmande toz a Deu et la vielle li ot aprestees unes armes bonnes et beles et un escu tout nuef; 	Et la vielle li ot aprestees armes |qui estoient beles et bones. 	12|13
10	si se mist en son chemin 	et escu tout nuef Si se mist en son chemin 	14
11	et acueilli sa voie aprés la vielle.	et acueilli sa voie apres la vielle.	15
12	Quant il ot chevauchié dusqu’a midi, 	Et quant il ot cheualchie iusques a miedi. 	16
13	si ataint I. damoisele a l’entree d’une forest 	si ataint une damoisele en mi vne forest 	17
14	qui chevauchoit I. petit palefroi noir 	qui cheualchoit. j petit palefroi noir. 	18
15	et pensoit moult durement,	si pensoit moult durement. 	19
16	et bien paroit a ses iauz 	Et bien paroit a sez iex 	20
17	qu’ele avoit rouges et anflez 	quelle auoit rouges et enfles 	21
18	qu’ele eust ploré. Il la salue 	quele auoit plore. Il le salue 	22
19	quant il l’aproche, 	quant il laproce 	23
20	et ele lui ausi. « Damoisele, fait il vos me samblez moult couroucie 	et elle lui autresi Damoisele fet il vous me sambles corocie. 	24
21	et je savroie volentiers l’achoison de vostre courouz. 	Et iou sauroie volentiers locoison de vostre corous. 	25
22	Et bien sachiez 	Et bien sachies 	26
23	que j'i metroie volentiers tout le bon conseil 	que ie y meteroie volentiers tout le bon conseil. 	27
24	que je porroie — 	que iou y porroie mettre. 	28
25	Certes, fait ele, il n’a home el monde fors Deu 	Certes fait elle il na homme el monde fors dieu 	29
26	qui consoil i poïst metre, 	qui conseil y peust metre. 	30
27	car de ce 		
28|29	dont je cuit estre couroucie sont C. mile autre couroucie,|ne ce n’est? mie chose 	Car ce de coi ie soi corocie. sont autre coroucie. Ne ce nest mie chose 	31
30	ou je perde seulement, 	ou iou perde seule. 	32
31	mais tuit li povre gentil home del monde 	mais tot li poure gentil homme del monde 	33
32	et tuit li riche de la Grant Bretaingne et d’autres terres. — Enon Dieu, damoisele, faît Lanceloz 	et tout li riche de la grant bertaigne et dautres terres. Enon dieu damoisele fet lancelot 	34
33	dont n’est a il mie merveille, 	dont nest ce mie merueilles 	35
34	se vos en estes couroucie 	se vous estes coroucie. 	36
35	et je vos pri 	Et iou vous pri 	37
36	que vos me diez 	que vous me dites 	38
37	que ce est, 	que chou est. 	39
38	car puis que toutes genz le sevent, vos le poez bien dire, 	Car puis que tant de gent le seuent vous le me poes bien dire 	40
39|40	ce m’est' avis. |sanz meffait. — Sire, fait ele, jel vos dirai 	ce mest auis sans mesfait. Sire fait elle ie le vous dirai. 	41
41|42	puis que vos avez tel talant del savoir |et si me merellie mouit 	puis que vous en aues si grant talent del sauoir. 	42
43	que vos nei savez, 	Voirs ert fet elle 	43
44	car toz li mondes le set ja. 	que mes corous est pour. ij . choses. li vns est dune moie sereur |que vns cheualiers prist lautre ior a force. 	44|45
45	Voirs est, fait ele,	Et li autres 	46
46	que mes couroz est de Jl. jor a force et d’un prodome	si est dun prodomme 	47
47	qui bien men venjast, 	qui bien men uengast 	48
48	s’il fust vis dusqu’a ore. 	se il eust uescu dusques a hore. mez il est mors |si vous dirai 	49|50
49	Mais il est morz 	comment ie le sai. Il est voirs 	51
