micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
Einsi leissierent celui jor et toute la semainne  tant que Lanceloz fu gariz  et vient au chevalier 	Ainsi laisserent celuy iour et toute nuyt  tant que lancelot fut guery et uint au cheualier 	Ansi le laisserent celui ior et toute la semaine  tant que lancelot fu egaris.  Lors sen vint au cheualier en paueillon il auoit geu	AInsi passerent celluy iour et toute la sepmaine/  tant que lancelot fut gari. si uint au cheualier 	EInssi lessierent celui ior et toute la semaine.  tant que lanc̃. fu gariz  et uient au cheualier. 	Ainsi laisserent tout le iour et tote la cemainne.  et tant que lanc̃ fu gatris  et uient au cheualier 	Como don lançarote dio asu amiga la donzella la çinta  quela Reyna le diera 	lnsi lasciano quel giorno andare e tutta la settimana  tanto che Lancelotto fu tutto guarito. Elli viene al cavaliere, 
qui avoit a non Carmadam et le mercie moult de ce 	qui auoit nom carmadan  et le mercie moult de ce 	qui auoit a non karmadan 	qni auoit uen cramadin  et le mercie monlt de ce 	qui auoit a non Carmadan. et le mercie molt de ce 	qui ot non carmadans et le mercie mout  de ce 	Entonzes dexaron de fablar  y mas y don lançarote moro 	ch’avea nome Carmadan,  e l merceda molto di ciò 
qu’il li avoit fait. «  Si m’aïst Diex, je ne fuisse mie  si liez por le millor chastel 	quil luy auoit fait.  Certes dist il ie ne seroye pas  si lie dauoir le meilleur chastel 	si li mercie moult de ce  quil li auoit fet. si mait diex fet li cheualiers. iou ne fuisse pas si lies pour le meillor castel 	quil luy auoit fait. Sire fait le cheualier ie ne feusses mie si ioyeux/  pour le meilleur chastel 	quil li auoit fet. Sire fet il.  si mait diex.  ge ne fusse mie  si liez  por le meilleur chastel	qu il li auoit fait Sire fait il  si maist diex ne fusse pas si liez  qui me donast le millor chastel 	y esa semana fastaque fue bien guarido que podia tomar bien armas  y leuantose y fuese asu hermano dela donzella  que hauia nombre guarmidan  e dixole  cauallero vos me hauedes fecho mucha honrra 	che li aveva fatto.  Sire,  se m’aiuti ldio, disse il cavaliere,  i'non fosse mica si lieto  se l’uom m’avesse donato il miglior castello 
que li rois Artus ait comme de ce 	que ayt le roy artus comme de ce 	que li roys artus ait comme de ce 	que le roy artus ait/ comme de ce 	que li rois artur ait.  comme ge sui de ce 	que li rois artus ait.  comme ie sui de ce 	e dios me voslo dexe agradeçer señor dixo guarmidan  asi me ayude dios 	che l re Artù abia,  come di ciò 
						que so mas alegre del seruiçio 	
que vos estes gariz. 	que uous estes guery. 	que vous estes garis. 	que uous estes gari/ 	que uous estes gariz. 	que uos estes garis. 	que vos fize 	che vo' siete 
Si m’an est grant honors avenue. 	si men est grant honneur aduenu 	si men est moult grant honor auenue 	si men est grant honneur aduenu/ 	si men est grant honeur auenue 	Si men est grans honors auenuee de ce 	que si me dieran el mejor castillo del Rey artur y tengome por mucho honrrado  porque morastes connusco aqui 	guarito:si me n’è grande honore avenuto 
quant tant avez demoré en mon ostel. « Biax sire, fait Lanceloz, je m’en voldrai demain aler, 	dont tant auez este en mon houstel. Beau sire fait lancelot ie men uueil demain aller 	quant tant aues demoure en mon ostel.  Biau sire fet lancelot. iou men voldrai demain aler. 	quant tant aues demoure en men hostel. Beau sire fait lancelot/ ie men uouldroie demain aller/ 	quant tant auez demore en mon hostel.  Biax sire fet lancelot. ge men uoudrai demain aler.	que uos estes tant demores auec moi.  Biax sire fait lanc̃ Ie men uodrai le matin aler. 	y dixo lançarote  yo me quiero yr demañana 	quando vo tanto avete dimorato in mio ostello.  — Bel sire, disse Lancelotto, 
							i' me ne vore domane andare, 
si vos demant congié. — Sire, fet il, jel vos otroi,  puis qu’il vos plaist,	si uous demande congie. Sire fait il ie le uous octroy  puis quil uous plaist. 	si vous demanc congie. Sire fet il iou le vous otroi  puis quil vous plaist. 	si uous demande congie. Sire fait le cheualier ie le uous octroy puys quil uous plaist/ 	Si uous demant congie. Sire fet il.  et ge le uous otroi puis quil uous plest. 	et por ce uos demant congie. Sire fait cil  puis quil uos plait gel uos otroi. 	y Ruegovos  que melo mandedes amigo dixo el Cauallero  pues aVos plaze yo no puedo al fazer 	si vo domando comiato.  — Sire, diss’elli, il ve l consento  poscia ch’elli vo piace, 
car outre vostre volenté ne vos retanroie je mie.  Et alez, fait il, 	Car oultre uostre uoulente ne uous retiendroys ie pas.  Or allez fait il 	quar outre vostre uolente ne vous retenroie iou pas. 	car oultre uostre uoulente/  ne uous retendroie ie pas/ 	Car outre uostre uolente ne uous retendroie ge mie.  et alez uous en fet il 	Car contre uostre uolente  ne uos retenroie ie mie.  et ales uos en quant il uos plaira. 	ca sin vuestro grado no vos podria de tener  e dios vos guarde por doquier 	ché oltre vostra volontà no vo riterrò i'mica. Andate, 
que Nostre Sires vos conduie en quel que leu  que vos ailliez. —  Diex le face », fait Lanceloz.  Cele nuit fist li chevaliers plus grant feste  qu’il n’avoit fait devant. Au matin 	que nostre sire uous conduye en qu ilque lieu  que uous aillez. Dieu le uueille fait lancelot  Celle nuyt fist lancelot plus grant feste  quil nauoit deuant Au matin 	Si ales que nostres sires vous conduie en quel que lieu  que vous allies. diex le face fait lancelos. ele nuit fist li cheualiers moult grant ioie asses plus  quil nauoit fait piecha.  Et au matin 	nostre seigneur uous cenduise en quel que lieu  que uous ailles/ dieu le fache fist lancelot. AU matin 	que nostre sire diex uous conduie. en quel lieu  que uos irez.diex le face fet lanc̃.  CEle nuit fist li cheualer plus grant feste  quil nauoit fet deuant. Au matin 	que nostres sires uos conduie en quel que lieu qu il uous plaira. Diex le face Sire fait lanc̃.  Cele nuit fist li cheualiers grignor feste  quil nauoit fait deuant.  Et au matin	que fueredes ansi lo mande dios dixo don lançarote  y aquella noche fizo guarmidan gran fiesta a don lançarote  mas que nunca fiziera  e otro dia de gran mañana se leuanto lanzarote 	che Nostro Signor vo conduca in qualche luogo che voi andiate.  — Dio il faccia, disse Lancelotto».  uella notte fece il cavaliere più gran festa  che non avea fatto davanti.  Al mattino,
quant Lanceloz fu levez, la pucele vint a lui, 	quant il fu leue uint la pucele. 	quant lancelot fu leues la pucele vint a lui. 	quant lancelot fut leue/ la pu celle uint a luy/	quant lanc̃. fu leuez. la pucele uint a lui. 	si tost com lañc. fu leuez uint la damoisele a lui. 	e de alli fue a oyr misa  e desque oyo misa fue ala donzella 	quando Lancelotto fu levato, la pulcella venne a-llui, 
et quant il la vit,	et quant il la uit uenir 	Et quant il le vit 	et quant il la ueist 	Et quant il la uit 	Et quant il lauoit 	y dixole 	e quand’e’ la vide,
		si li dist. bele douce amie 					
