0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	Insi fu Lancelotto tre giorni là entro si adolorato 	0
2	qu’il em perdi le boivre et le mangier. 	che ne perde il bere e il mangiare. 	1
3	Si em pesoit moult a une damoisele de laienz 	Si ne pesava molto a una damigella di là entro 	2
4	qui chascun jor li aportoit à mengier 	che ciascun giorno li portava a mangiare, |e elle lel’avieno dato 	3|4
5	et li avoient baillie a servir et a garder. 	per lui servire e guardare, |e ella si facea.	5|6
6	Et ele li faisoit touz les biens	E la damigella li facea tutto il bene 	7
7	qu’ele pooit el monde 	ch’ella potea al mondo: molto le pesava di su' cruccio. 	8
8	et li pesoit molt de son courrouz. Au quart jor aprés furent venu li chevalier de laienz d’un tornoiement 	Al quarto giorno furono venuti i cavalieri di là entro del torneamento 	9
9	qui le jor devant avoit esté; 	che l giorno davanti aveva stato, 	10
10|11	si enconmancerent tant a parler |et ça et la 	si ne cominciarono tanto a pparlare qua e là 	11
12	que Lanceloz l’antandi bien 	che Lancelotto intende bene 	12
13	qu’il venoient d’un tornoiement. 	ch’egli venieno del torniamento. 	13
14	Lors conmance a penser et a correcier soi a lui meismes et dist 	eAllor comincia a pensare |e a crucciarse a llu' medesimo, 	14|15
15	qu’il ne fu onques nus 	e dice |che non fu unque nullo 	16|17
16	si maleurous chevaliers 	si malaguroso cavaliere 	18
17	com il est, 	come egli è, 	19
18|19	car quant il est sains et haitiez |et il devroit aler par tout le monde 	ché quando egli è sano e atato egli dovrebbe andare per tutto el mondo 	20
20	et achever les perilleuses aventures 	e accivire le perigliose aventure	21
21	que li autre n’osent atandre et il avroit bien pooir de mener les a chief, 	che gli altri no sano imprendere, |e si arebbe egli ben podere di menarle a capo; sallora il mettono i diavoli in prigione, 	22|23
22	lors le metent deable em prison 	si|che non sa nullo tempo 	24|25
23|24	si qu’il n’est nul tans qu’il ne soit malades ou emprisonnez. |Lors regrete ses mescheances 	che non sia malatto sol in prigione. Allor compiange sua disaventura 	26
25	dont il avoit trop souvant; 	ond’egli avea troppo sovente assai, 	27
26	si conmance a faire trop mervilleux duel. 	si comincia a-ffare troppo maraviglioso duolo. 	28
27	Lors vient laienz la damoisele 	Allor viene là entro la damigella, 	29
28	qui de lui se prenoit garde; 	quella che di lui prendea guardia: 	30
29	et quant ele l’i vit tel duel mener, 	quand’ella vide tal duolo menare, 	31
30	si en est trop dolente. « 	sì n’è troppo dolente. 	32
31	Ha, sire, fait ele, 	Ail, sir, diss’ella, 	33
32	que avez vos 	che avete voi 	34
33	qui tel duel menez ? — Damoisele, ja ne devroie je mie duel mener, 	che tal duolo menate? |—Damigella, diss’egli, 	35|36
34	mes moi occirre, 	i' non dovrei mica duol menare, |ma me uccidere, 	37|38
35	car je sui li plus mescheanz chevaliers del monde. — Sire, fait ele, par la riens 	ch’i sono il più misaventuroso cavaliere del mondo. |— Sire, diss’ella, per la cosa 	39|40
36	que vos plus amez, dites moi 	che vo più amate, diteme 	41
37	qui vos estes 	chi vo siete 	42
38	et conment vos avez non 	e come voi avete nome, 	43
39	et je vos creant 	e i' vi giuro lialmente 	44
40	que je ne vos descouverrai 	che già non vi discoperò, né qui né altrove. 	45
41	ne ci ne aillors. — Damoisele, fait il, 	— pamigella, diss’egli, 	46
42	tant m’avez conjuré 	tanto m’avete scongiurato 	47
43	que je le vos dirai. Sachiez 	ch’i' vo dirô: sappiate 	48
44|45	que je sui li plus maleureus chevaliers |qui onques portast armes 	ch’i sono il più maraguroso cavaliere e l più disaventuroso che unque portasse arme; 	49
46	ne ma mescheance ne comance mie ore premierement, 	né mia disaventura non comincia mica pur ora primieramente, 	50
47	mais des	ma dal giorno 	51
48	lors que je estoie en bercel ; 	ch’io era in culla, 	52
49	car je perdi en une matinee mon pere 	ch’i perde in una mattinata mio padre, 	53
50	qui molt estoit vaillanz et prodom et bons chevaliers	che molto era produomo e valentre e buon cavaliere,	54
51	et fui desheritez de toute ma terre 	e fu' dijselritato di tutta mia terra, 	55
52	donc je eusse a grant planté, 	dond’io avessi ora gran quantità	56
53	s’ele m’eust loialment esté gardee. 	s’ella mi fosse stata lealmente guardata. 	57
54	Si puis dire loiaument 	“Si posso ben dire veramente 	58
55	que j’ai a non Lancelot del Lac li mescheanz.» 	ch’i ô nome Lancelotto de Lac il Miscedente». 	59
56	Quant ele entant 	Quando la damigella intende	60
57	que ce est Lanceloz, cil 	che ciò è Lancelotto, 	61
58	que l’an tient au millor chevalier dou monde, 	que' che l’uomo tiene il miglior cavaliere del mondo, 	62
59	si est tant liee 	si è tanto lieta 	63
60	que nule plus; 	che nulla più. 	64
61	et lors li dist: « Sire, ceste prison vos anuie molt, je le sai bien, 	Allor li disse: Sire, questa pregione voi invidia molto. |I’ l so bene 	65|66
62	et que vos en isteriez volentiers, 	che voi n’usciresti volentieri, 	67
