0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	y estando alli tres dias ydos 	0
2|3	qu’il em perdi le boivre et le mangier. |Si em pesoit moult a une damoisele de laienz 	que alli se fallo ouo tan gran pesar 	1
4|5	qui chascun jor li aportoit à mengier |et li avoient baillie a servir et a garder. 	que perdio el comer y el beuer y el dormir 	2
6|7	Et ele li faisoit touz les biens|qu’ele pooit el monde 	y quando esto vio vna donzella quelo seruia ouo muy gran pesar 	3
8	et li pesoit molt de son courrouz. Au quart jor aprés furent venu li chevalier de laienz d’un tornoiement 	y al quarto dia despues de visperas llegaron ay todos los Caualleros dela Reyna devn torneo 	4
9|10	qui le jor devant avoit esté; |si enconmancerent tant a parler 	ado fueran 	5
11|12	et ça et la |que Lanceloz l’antandi bien 	y tanto fablaron ende los vnos y los otros 	6
13	qu’il venoient d’un tornoiement. 	quelo oyo don lançarote 	7
14	Lors conmance a penser et a correcier soi a lui meismes et dist 	y vbo ende muy gran pesar |y començose a quexar 	8|9
15	qu’il ne fu onques nus 	y deçia asi mismo 	10
16	si maleurous chevaliers 	ay mezquino 	11
17|18	com il est, |car quant il est sains et haitiez 	y como so Cauallero de mala uentura que quando so sano e ledo 	12
19|20	et il devroit aler par tout le monde |et achever les perilleuses aventures 	e abia de dar cauo alas auenturas 	13
21	que li autre n’osent atandre et il avroit bien pooir de mener les a chief, 	quelos otros no osan aCometer |ni las pueden acauar 	14|15
22	lors le metent deable em prison 	entonçes me meten los diablos en persecuçion 	16
23	si qu’il n’est nul tans qu’il ne soit malades ou emprisonnez. 	e so enfermo |e Comenzo a fazer muy gran duelo 	17|18
24	Lors regrete ses mescheances 	e a contar sus malas andanças 	19
25	dont il avoit trop souvant; 	quele venian a menudo 	20
26	si conmance a faire trop mervilleux duel. 		
27|28	Lors vient laienz la damoisele |qui de lui se prenoit garde; 	y la donzella quelo seruia 	21
29|30	et quant ele l’i vit tel duel mener, |si en est trop dolente. « 	quando esto le vio fazer entro ael e dixole 	22
31|32	Ha, sire, fait ele, |que avez vos 	señor como fazeis tal duelo 	23
33	qui tel duel menez ? — Damoisele, ja ne devroie je mie duel mener, 	donzella dixo el |yo no debria fazer este duelo 	24|25
34	mes moi occirre, 	mas antes me debria matar con mis manos 	26
35	car je sui li plus mescheanz chevaliers del monde. — Sire, fait ele, par la riens 	Ca so el mas malandante Cauallero del mundo Señor dixo ella |dezidme quien sodes 	27|28
36	que vos plus amez, dites moi 	non fare |dixo el 	29|30
37	qui vos estes 	si faredes |dixo ella 	31|32
38	et conment vos avez non 	yo vos Ruego porla fee |que deuedes ala Cosa del mundo 	33|34
39	et je vos creant 	que mas amades |que yo vos juro lealmente 	35|36
40	que je ne vos descouverrai 	que vos yo no descubra 	37
41	ne ci ne aillors. — Damoisele, fait il, 	mientras vos no quisieredes donzella |Dixo el 	38|39
42	tant m’avez conjuré 	tanto me Conjurades 	40
43	que je le vos dirai. Sachiez 	que Voslo dire sabed 	41
44	que je sui li plus maleureus chevaliers 	que yo so el mas mal andante Cauallero del mundo 	42
45	qui onques portast armes 	de quantos nunca trajeron armas enla gran bretaña 	43
46	ne ma mescheance ne comance mie ore premierement, 	y no lo començo agora 	44
47|48	mais des|lors que je estoie en bercel ; 	mas yasiendo enel braço 	45
49	car je perdi en une matinee mon pere 	que yo perdi envna montaña my padre 	46
50	qui molt estoit vaillanz et prodom et bons chevaliers	que hera muy buen Cauallero de armas |y muy buen ome 	47|48
51	et fui desheritez de toute ma terre 	entonzes perdi mi tierra toda 	49
52	donc je eusse a grant planté, 	deque hubiera mucha honrra 	50
53	s’ele m’eust loialment esté gardee. 	si lealmente me fuera guardada 	51
54|55	Si puis dire loiaument |que j’ai a non Lancelot del Lac li mescheanz.» 	e Con verdad vos puedo dezir que yo he nombre don lanzarote de lago el mal auenturado 	52
56|57	Quant ele entant |que ce est Lanceloz, cil 	Como la donzella saco a don lançarote dela prision 	53
58	que l’an tient au millor chevalier dou monde, 	y como le prometio de le ayudar 	54
59	si est tant liee 	Quando la donzella quelo seruia le / oyo dezir |que hera don lanzarote de lago fue muy alegre 	55|56
60	que nule plus; 	porque muchas vezes oyera dezir |que hera el mejor Cauallero del mundo 	57|58
61	et lors li dist: « Sire, ceste prison vos anuie molt, je le sai bien, 	y dixole señor yo se bien |que esta prision vos enoja 	59|60
62	et que vos en isteriez volentiers, 	y que saldriades della de buena gana 	61
63	se vos poiez. — 	si pudiesedes verdad es dixo lançarote 	62
64	Certes il n’est riens 	y no ay cosa 	63
65|66	que je poïsse faire |que je ne feisse, 	que yo non fiçiese ental que no fuese mi gran verguença 	64
67	par couvant que j’an fusse hors. — 	Por quien me ansi sacase 	65
68	Par foi, fait ele, 	Pordios dixo la donzella 	66
69	et je vos en osterai, 	yo vos sacare dende 	67
70|71	se vos |por moi volez faire ce 	si por mi quisieredes fazer vna Cosa 	68
72	que je vos conmanderai. — Dites, fait il, 	que vos yo dire Pordios dixo lançarote 	69
73	car je le ferai, 	yo la fare 	70
74	se j’en ai le pooir?, —	si es cosa |que pueda o deua 	71|72
75	Or mescoutez 	Pues señor yo voslo dire 	73
76	dont, fait ele. Il est voirs 	dixo ella |señor saued 	74|75
77|78	que la roine de Sorestan, la dame de cest chastel |ou vos estes, m’a tenue longuement avec li 	que hera Reyna de floresta señora deste castillo enque agora sodes me tubo eneste castillo gran tiempo consigo 	76
79	et si vos dirai comment. Il avint, bien a passé X. anz 	y dire uos en qual guisa ansi fue 	77
80	que j’estoie petite 	que puede hauer doze años 	78
81|82	que mes peres, li dus de Rocedon, conmança guerre contre le roi? de Sorestan |qui fu seingnor a la roine de ceanz. 	que mi padre el duque Comenzo su guerra conel Rey de floresta su marido desta dueña 	79
83|84	Mais au darrien firent pais, |por ce que mes peres me donna en mariage a I. petit fil le roi 	mas ala çima fizo paz 	80
85|86	qui n’avoit mie plus de VI. anz |et je estoie en l’aage de V. anz. 	por tal Pleito 	81
87|88	Aprés ce ne demoura gueres |que mes peres morut et ma mere ausi, 	que mi padre me diese 	82
89|90	si que ma terre remest a garder a ceste roine. |Oan ot VIll. jorz devant Noël, 	por muger a un su fijo del Rey que hauia siete años 	83
91|92	s’esmut li chevaliers |qui fiancie m’avoit a la cort 	e yo no hauia mas de çinco 	84
93	por estre chevaliers noviax, 	y despues murio el Rey mi padre 	85
94	si nos an mesavint	ansi que finque yo 	86
95	tant qu’il fu occis a l’issue de la forest de Karlion. 	y toda mi tierra en poder dela Reyna y agora fue de aqui el donzel a Casa del Rey artur 	87
96	Quant je soi 	porse fazer Cauallero 	88
97	qu’il fu morz, 	y murio alla 	89
98	si m’an vos de ceanz aler et li demandai 	y yo quando lo supe quiseme yr de aqui 	90
99|100	qu’ele me randist ma terre. |Mais la roine 	y demande mi tierra ala Reyna 	91
101	si n’en volt riens faire, 	y ella no mela quiso dar 	92
102|103	ainz dist, |se je l’angoissoie I. poi, je n’an tandroie jamés plain pié por pooir 	y agora poco a demandome vnsu hermano por muger 	93
104	que je eusse. 	y ella mele otorgo 	94
105	Si le laissai atant, 	e fizome jurar Conel alma demi grado |e otorguele toda mi tierra 	95|96
106|107	que plus n’en osai dire |et tant qu’il avint avant ier n’a mie III. semainnes 	e auemos a fazer las vodas de aqui a veinte dias 	97
108	que J. suens freres me demanda a fame	mas çierto de poco seso se trabaja 	98
109	et ele m’i donna. 	anteme matare con mis manos mesmas 	99
110	Ele le me fist fiancier maugré mien, 	que no casar conel |que es el peor Cauallero 	100|101
111|112	si le revesti de toute ma terre |et an doivent estre les noces de diemanche an VIII. jorz. 	y el mas desleal del mundo 	102
113	Mes certes por noiant, 	y porende Vos Ruego Señor |que en Enmienda del seruiçio 	103|104
114	car je ne l’avrai ja a mari ne a seingnor, 	que vos yo puedo fazer |que me libredes del 	105|106
115	car j’ai bien raison, 	que antes morire |que me ayuntar conel 	107|108
		donzella dixo don lançarote 	109
		si porvos puedo ser librado de prision 	110
116	qu’il est li plus desloiaux chevaliers et li plus couarz 	yo vos prometo |como leal Cauallero de fazer todo mi poder porvos librar este enogoço 	111|112
117	qui onques fust.	y de ser convos el dia |que hauedes de Resçeuir las bendiçiones 	113|114
118|119	Et se vos por moi voliez tant faire |que a celui jor venissiez touz armez 	si muerte o dolençia o prision no melo estoruare 	115
120	pour contredire ces espousailles en ce chastel 	muchas merçedes dixo ella ca yo non pido 	116
121	et feissiez	mas ca bien çierta soy |que si vos ponedes y todo vuestro poder 	117|118
122	tant que cist mariages fust desfaiz, je vos geteroie anuit de ceste prison 	que muy ayna sere yo librada de suxeçon |y agora señor non vos deseñorades dixo ella 	119|120
123	et vos donroie bon cheval et bonnes armes. — 	que yo vos dare armas y Cauallo |y vos sacare de aqui 	121|122
124	En non Deu, damoisele, fait li, 	enmanera que lo non puedan entender los 	123
125	se vos ce volez faire, je vos creanterai comme loiax chevaliers 	que el castillo guardan 	124
126	que je a celui jor revanroie en cest chastel	Pues yd ayna dixo don lançarote 	125
127	et feroie 	e dios vos ayude |entonzes se fue la donzella 	126|127
128|129	que je vos deliverroie de cel chevalier |et avriez vostre terre quite, 	y llamo a vn moço su ermano de leche 	128
130|131	s’il n’i a autre arest |que vos m’avez dit. —	e dixole 	129
132|133	Certes, fait ele, il n’i a autre arest. — |Dont vos craant je, fait il, 	buen hermano Este Cauallero 	130
134	que je cest couvenant vos tandrai. — 		
135|136	Et je vos craant loiaument |que je anuit vos giterai fors de ceanz.» 	que la Reina tiene preso me a prometido deme librar deste mal cauallero 	131
137|138	Ensi aseure li uns l’autre : |si s’em part atant la damoisele et Lanceloz remest liez 	si lo saco dela prision 	132
139	et joianz de ce 	e se çierto 	133
140	que la damoisele li promet	que lo fara 	134
141|142	Quant il fu auques anuitié |et cil de laienz furent couchié et endormi, la damoisele ouvre l’uis de la chambre 	Ca el es el mejor Cauallero del mundo 	135
143|144	et vint a Lancelot|et li dist: « Sire, venez aprés moi. » 	e porende me quiero trauajar delo sacar dela prision 	136
145	Et il se lieve, 	y es menester 	137
146|147	si la siut |et ele l’enmoinne en une chambre de laienz pres d’un vergier ; 	que guardedes 	138
148	si le fait mengier, 	quando todos estubieren sosegados a çenar 	139
149	puis li baille bonnes armes et bon cheval. 	y que ensilledes vno delos mejores Cauallos 	140
150	Et quant il est apparilliez comme de monter, il dist a la damoisele: e Dites moi 	que aqui ay y que lo saquedes 	141
151	de quel tornoiement li chevalier 	por aquel postigo detras el Castillo 	142
152|153	de ceanz parloient anuit aprés vespres. — Sire, fait ele, volentiers. Il est voirs |que li rois Baudemaguz et li rois de Norgales fiancerent I. tornoiement li uns encontre l’autre, de gent contre gent: 	y esperadme ay 	143
154	si ont hui esté assemblez en une praerie 	e yo terne armas aparejadas 	144
155	qui est a JI. liues loing de ci 	para el Cauallero |e sacarlo eys 	145|146
156	si que cil de ceanz 	enguisa que ninguno lo entienda ca en otra guisa seriamos escarnidos muy de grado dixo su hermano |entonçes se partio la donzella desu hermano 	147|148
		e fuese a vn palaçio 	149
		donde hauia muchas armas 	150
		para defendimiento del Castillo y escogio las mejores 	151
		que ay fallo 	152
157	a cui vos en oïstes parler an sont anuit venu. — 	y desque vio |que todos çenauan 	153|154
158	Et liquel, fait il, en ont le peor ? — 	e que lo non podrian ver fuese a don lanzarote 	155
159	Par foi, fet ele, li rois Baudemaguz en a esté chaciez de place, 	y dixole |señor tomad estas armas y armadvos ayna 	156|157
160	car il n’avoit mie tant de gent amené de la moitié comme li rois de Norgales. 	y agora vos podre de aqui sacar en 	158
161	Mais il ont pris terme d’assembler juedi. » 	quanto la compaña çena 	159
162	Et il n’avoit c’un jor entre II. 	y don lanzarote fue muy alegre 	160
163	Quant il oit 	quando esto oyo y armose muy ayna y la donzella le ayudo lo mejor que pudo |y desque fue armado sacolo dela Camara 	161|162
164	que li rois Baudemaguz en a esté chaciez de champ, 	y llebolo al postigo del castillo en manera 	163
165	si est molt dolanz, 	que lo non vido ninguno 	164
166	car ce est un des homes del monde 	y fallo ay su hermano que la estaua esperando 	165
167	qui plus li a fait honor, 	y tenia el Cauallo porla Rienda 	166
168	si est molt dolanz de ce 	que hera vno delos fermosos Cauallos del mundo 	167
169	qu’il n’i a esté; 	y dixo la donçella a don lançarote |señor subid en ese cauallo 	168|169
170	car s’il i fust, a ce	y enComiendo vos a dios 	170
171|172	qu’il se sent sain et haitié |et desirrant de porter armes, il ne cuide mie 	que vos guarde e vos defienda e vos encamine 	171
173	que li rois en eust le peor 	pero señor vengavos en miente de lo 	172
174	si com il a eu. 	que me prometistes 	173
175|176	Lors monte en son cheval |et conmande la damoisele a Deu 	en Como seades enel Castillo el dia del plaço 	174
177|178	et ele li dist |qu’il ne l’oublist pas des couvant	deso non dubdedes dixo don lanzarote 	175
179	que il i a. — 	que yo aqui sere 	176
