0	Et Lanceloz ot toute jor chevauchié las et travilliez de ce 	ET lancelot eust toute iour cheuauchie laz et trauaille de ce 	0
1|2	qu’il|ot le jor fait 	quil auoit le iour fait/ 	1
3|4	et ses chevaux se doloit si durement |que del poindre 	et son cheual se doulloit si durement tant du poindre 	2
5	qu’il ot le jor fait 	quil olt toute iour fait 	3
6	que des petites plaies 	que des petites plaies 	4
7|8	qu’il avoit |a 	quil auoit/ 	5
9	que a painnes pooit il aler 	que a paine pouoit il mes aller 	6
10	que le pas. 	que le pas. 	7
11	Lors resgarde arriere lui 	lors regarde derriere lui 	8
12	et voit venir. J. chevalier armé et une molt bele dame avec lui. Il le saluent, 	si uoit uenir ung cheualier et une moult belle dame auec luy. ilz le salluent 	9
13	quant il viennent pres, 	quant ilz uiengnent prez/ 	10
14	et il a molt grant paor de quenoissance; 	et il a moult grant paour destre congneu/ 	11
15	si respont basset 	si respont tout bas 	12
16|17	que Diex les beneie. « |Biaux sire, fait la dame, 	que dieu les beneie/ Beau sire fist la dame 	13
18|19	qui estes vos ? — J. chevaliers sui, |ce poez veoir. — 	qui estes uous/ ung cheualier suys ce poues uoir. 	14
20	Si m’aïst Diex, fait ele, chevaliers estes vos tel a mon esciant 	Si maist dieu fist elle cheualier estes uous/ tel a men aduiz 	15
21	qu’il n’a vostre pareil ou monde: 	quil na uostre pareil eu monde. 	16
22|23	si le sai par or̈r dire et par veoir et je vos pri par la riens |que vos plus amez el monde	si uous prie 	17
24	que vos hui veingniez herbergier o moi en un mien chastel 	que uous uiengnes meshuy herbeger |auec moy en ung mien chastel	18|19
25|26	qui ci pres est, |par couvant 	qui est cy pres/ par tel cenuenant 	20
27	que je vos mousterrai demain la plus bele riens 	que ie uous menstreray demain la plus belle chose 	21
28	que vos onques veissiez. » 	que uous ueistes oncques. 	22
29	Et il dist 	Et il dist 	23
30|31	qu’il i ira volentiers par cest couvant. « |Or en venez donc, fait ele. — Alez, fait il, 	quil ira uoullentiers par ce cenuenant. La dame sen ua auant/ 	24
32	et je vos suirrai. » La dame s’an vait avant 		
33	et cil aprés 	et luy aprez/ 	25
34	qui greingnor mestier eust de repos 		
35	que de chevauchier; 		
36	si ont tant alé 	si ont tant alle 	26
37	qu’il vindrent en J. valee et voient el fonz del val I. chastel bien fait et bien seant	quilz uindrent en une uallee. Il uoit au fons du ual ung chastel bien fait et bien seant/ 	27
38	dont li mur estoient fort et grant et menuement crenelé. 	denc les murs estoient fors et haultz et bien crenelles 	28
39	Quant il vindrent au chastel, 	Quant ilz uindrent au chastel 	29
40	si estoit ja grant nuit 	si estoit ia grant nuyt/ 	30
41	et la dame apele celui 	et la dame appelle cellui	31
42	qui la porte gardoit 	qui la porte gardoit/ 	32
43	et li dit 	si luy commanda 	33
44|45	qu’il ouevre la porte|et cil si fait. 	qnil ouurist/ 	34
46|47	Et il antrent anz |et chevauchent dusqu’au mestre palais ; 	et si fist il puis uont iusques au maistre pallaiz. 	35
48	et quant cil de laienz voient 	Et quant ceulx de leans uoient 	36
49	que lor dame vient,	que leur dame uient 	37
50	si li saillent a l’encontre o cierges et o tortiz, 	si lui saillent a lencontre a cierges et a torches/ 	38
51|52	car autrement n’i veissent pas por la nuit |qui trop ert oscure. 	car la nuyt estoit trop obscure. Il deschendent leur dame/ 	39
53|54	Si descendent la dame |et ele dist 	et elle leur commande 	40
55	qu’il ne s’entremetent de lui, « 	qu il ne sentremettent mie de elle.	41
56|57	mais je vos pri, fait ele, |d’onorer cel chevalier 	Mais ie uous prie fist elle de ce cheualier: 	42
58	et de servir, 	et que uous le serues au plus 	43
59	car je vos di, fait ele, 	que uous pourres/ |car bien sachies 	44|45
60	qu’il est li plus prodons del monde et le millor chevalier». 	que cest ung des meilleurs cheualiers du mende. 	46
61	Et le descendent maintenant 	Et ilz le deschendent maintenant/ 	47
62	et li ostent l’escu del col, 	si luy ostent lescu de son col/ 	48
63	puis le moinnent amont 	puis le mainent ament 	49
64	et le desarment. 	et le desarment au mieulx |qu il peuent. 	50|51
65	Et la dame le resgarde 	Et la dame le regarde 	52
66	et voit le vis gros et anflé 	si uoit |quil a le uisage gros et enffle/ 	53|54
67	et le nes escorchié et sanglant des cox 	et le nez escorche|et tout senglant des coupz 	55|56
68	qu’il ot donnez et receuz ; 	quil auoit donnes et recheuz/ 	57
69	si li fait aporter eve chaude a laver son col et son vis	si luy fist aporter eaue chaude |pour lauer son corps et son uiz/ 	58|59
70	qui touz estoit nerciz des mailles del haubert. 	qui tout estoit noircy des mailles du haubert. 	60
71	Et quant ele resgarde l’escu, 	Et quant elle regarde lescu	61
72	si dist oiant touz ceus de laienz : « 	si dist oyans tous ceulx de leans 	62
73	Ha, escuz,	Haa escu: 	63
74	tant avez hui esté resgardez et desirrez d’estre tenuz de maîntes beles puceles! 	tant aues huy este regarde |et desire de estre tenu de mainte belle dame. 	64|65
75	Si m’aïst Diex, 	Si	66
76	bien se puet celui vanter 	maist dieu bien se peult uanter celluy 	67
77	qui vos porte,	qui uous porte/ 	68
78	que onques chevalier tel merveilles ne fit en I. jor 	que encques|mais cheualier tant de merueillee ne fist en ung iour/ 	69|70
79	com a hui fait cist. 	comment uous aues huy fait. 	71
80	Et beneoiz soit Diex 	Et benoist soit le nom de dieu 	72
81	qui le me donna acointier,	qui le me donna trouuer/ 	73
82	car il ne me poïst mie greingnor honor avenir de ce 	car greigneur henneur ne me pouoit aduenir/ |que de ce 	74|75
83	qu’il est venuz a mon hostel. » 	quil est herbegie en mon hostel. 	76
84	Lors entre en sa chambre et aporte robe de cendal a vestir a Lancelot; 	Lors entra a sa chambre|si aporta une robe de chendal a lancelot/ 	77|78
85	et quant il est vestuz, 	et quant il est uestu 	79
86	si le fait seoir 	si le fist seoir pres de elle 	80
87	et li dist: « Sire, reposez vos,	et luy dit Sire reposes uous/ 	81
88	car si maist Diex vos le devez bien faire, 	car asses longuement auez este trauaille. |Et il dist 	82|83
89	car asez avez esté travilliez. » 	qu il ne a mie grant mestier de repoz pour trauail |quil aist eu. 	84|85
90	Et ele conmande a cels de laienz 	Et elle commande a ceulx de leans 	86
91	qu’il apareillent a mengier, 	qu ilz appareillassent a menger/ 	87
92	car il en est tans 		
93	et il si font. 	et eulx si font. 	88
94	Quant il furent assis a la table, 	QUant ilz furent assiz a la table/	89
95	si vint laienz I. vallez 	si uint leans ung uarlet 	90
96	qui dist a la dame: « Dame, mes sires est venuz. — De par Deu, fait ele, di li 	qui dist a la dame/ dame monsieur est uenu. de par dieu fist elle dy luy 	91
97	qu’il viengne mengier 	quil uiengne mengier/	92
98|99	et qu’il ne demort mie, |car il a çaienz I. chevalier 	et quil y a ceans ung cheualier 	93
100	a cui je voil	a qui ie uueil 	94
101	que il face grant joie. » Li vallez vient a son signor	quil face moult grant ioie/ le uarlet uint au seigneur 	95
102	et li dist ce 	et luy dist ce 	96
103	que sa dame li mandoit. 	que sa dame luy mandit. 	97
104	Et il se desarma maintenant 	Et il se fist maintenant desarmer/	98
105	et ausint firent tuit li autre; 	et aussi firent tous les aultres cheualiers. 	99
106	si vint el palais soi disieme de chevaliers 	si uint au pallaiz soy disieme 	100
107	et la dame se leva encontre lui et ansi fist Lanceloz. 	Et la dame se leua encentre luy/ |et aussi fit lancelot.	101|102
108	Et li sires li conmande molt tost 	Et le seigneur leur commanda moult tost 	103
109	qu’il se rasiet 	qu ilz se raseissent. 	104
110	et il si fait. 	Et ceusx si fent. 	105
111	Quant il furent assis 	Quant ilz furent assis 	106
112	et il orent un poi mengié, 	et ilz eurent ung peu mengie 	107
113	si li dist la dame: « Sire, faites joie a vostre oste, 	si lui dit la dame Sire faictes ioie a nostre hoste	108
114	car bien sachiez 	car bien sachez 	109
115|116	que a plus prodome de lui ne poez vos faire honor. — Prodom, fait il, dame? |Qu’est ce	que a plus preudomme de lui ne pouez uous faire honneur. Preudomme fist le sire. Dame 	110
117	que vos dites ? 	que dictes uous: 	111
118	Certes je ne di mie 	certes ie ne diz pas 	112
119|120	qu’il ne soit prodom et vaillanz. |mais il a molt a faire en I. prodome, plus 	qu il ne soit preudomme et uaillant mais moult a plus a faire ung preudomme 	113
121	que je ne cuidoie hui 	que ie ne cuidoie huy matin.	114
122	matin.Si ai tant apris en cest jor d’ui 	Si ay tant aprins en ce iour 	115
123	que je cuit 	que ie cuide 	116
124	qu’il ait el monde 	quil nait au mende 	117
125	que I. prodome.	que ung seul preudomme 	118
126	Mais celui 	mais celui 	119
127|128	que je di ai je bien hui veu esprouver entre chevaliers |que puis que chevalerie fu establie, ne cuit je 	que ie ay huy ueu esprouuer centre cheualiers cuide ie uraiement 	120
129	que hons mortex feist tels merveilles 	qu il ny a au monde cheualier |qui tant ait fait de cheualerie 	121|122
130	com il a hui faites. » 	comme il a huy fait. 	123
131|132	Lors li demande la dame |ausi 	Et lors lui demanda la dame aisi 	124
133	comme s’ele n’i eust mie esté: « Sire,	comme se elle ny eust este. Sire 	125
134	ou fu ce 	ou fut ce 	126
135	que veistes celui chevalier 	que uous ueistes celui preudomme 	127
136	que vos dites ? —	que uous dictes. 	128
137	Ce fu, fait il, a l’assembles le roi Baudemagu et del roi de Norgales. — 	Ce fut dit il a lassemblee du roy bademagus et du roy de norgalles 	129
138	Ha, sire. 	Haa sire 	130
139	quiex greingnors merveilles pooit il faire 	quelles greigneures merueilles faisoit il 	131
140|141	que li autre faisoient ? — |Quelz, dame ? 	que ung autre. 	132
142|143	Ce ne vos avroie je ouan conté. |Par foi, ja Diex ne m’aïst 	Quelles. dames ie ne le uous auroie pas dit par moy en xu. iours. ia dieu ne maist 	133
144	se je savoie pas raconter ce 	se ie uous sauroie compter ce 	134
145	que je li vi faire, 	que ie lui uiz faire 	135
146	ne vos ne m’en creriez mie, 	Uous ne men croiriez pas	136
147	se je vos juroie sor sainz, 	et le uous iurasse ie sur sains 	137
148	car il vos sambleroit merveilles. » 	car se uous sembleroit merueilles	138
149	Et cele cui il plest? a escouter ce 	Et celle |qui moult se prit a escouter ce 	139|140
150	qu’ele ot veu et meesmement devant celui 	quelle auoit ueu|et mesmement deuant celui 	141|142
151|152	qui ce avoit fait dist au signor: « |Biau sire, 	qui ce auoit fait dit a son seigneur. Sire dictes nous en 	143
153	toute voies an diroiz vos aucunnes beles jostes devant cest prodome 	sil uous plaist aucune auanture et aucune belle iouste |deuant ce preudomme 	144|145
154	qui çaienz est herbergiez 	qui ceans est hebergie 	146
155	si qu’il le sache a dire,	si quil le sache dire 	147
156	quant il venra en son païs. — Biaux cox, fait li sires, vos am puis je dire plus de M., 	quant il uendra en sen pais. |Beaulx coupz dit le seigneur uous en puis ie dire 	148|149
157	car je l’aloie touz jorz sivant 	car ie en uis plus de mille/	150
158|159	por veoir les merveilles |qu’il faisoit: 	car ie le alloie tousiours suiuant. 	151
