micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
Et Lanceloz ot toute jor chevauchié las et travilliez de ce  qu’il ot le jor fait  et ses chevaux se doloit si durement  que del poindre  qu’il ot le jor fait 	ET lancelot eust toute iour cheuauchie laz et trauaille de ce  quil auoit le iour fait/  et son cheual se doulloit si durement tant du poindre  quil olt toute iour fait 	et lancelot tout le iour cheuauche las et trauaille de ce  quil auoit fait le iour  et son cheual  si douloit si fort  que du poindre  quil eut fait le iour 	et lanc̃ cheuache las et trauilliez de ce  quil auoit fait. et ses cheuaus se doloit si. que del poindre  quil auoit fait 	ET lanc̃. ot toute ior cheuauchie. las et trauailliez de ce  quil ot le iour fet.  et son cheual se doloit si durement.  que del poindre  quil ot le iour fet 	Et lancelot ot toute iour cheualchie las et traueillies de ce  quil ot le ior fet.  Et sez cheuals fu si lasses 	Agora dize el Cuento  que quando don lançarote se salio del torneo  que andubo todo aquel dia porla floresta muy Cansado del afan 	E Lancelotto ebbe cavalcato tutto giorno lasso e travagliato di ciò  ch’elli ebbe il giorno fatto in sul cavallo,  si dolea si duramente, che del pugnere  ch’elli avea il giorno fatto, 
que des petites plaies  qu’il avoit  a  que a painnes pooit il aler  que le pas.  Lors resgarde arriere lui 	que des petites plaies  quil auoit/  que a paine pouoit il mes aller  que le pas.  lors regarde derriere lui 	que des petites playes  quil auoit  que a peine pouoit il aller le pas.  Lors regarde derriere lui 	que des petites plaies  quil auoit :  que apainnes pooit aler  que le pas. Lanbleure petite.  LOrs ce resgarde lanc̃. 	que des petites plaies  quil auoit.  que a poine se pooit il soustenir ne aler  que le pas.  Lors regarde arriere lui. 	que a paines pooit il aler plus que le pas.  Lors regarde derriere lui.	que hauia sufrido todo aquel dia y su Cauallo hera tan laso y tan quebrantado delas feridas  que no se podia mouer entonçes cato  y vio venir enpos desi vn cauallero armado 	che di piccole piaghe  ch’elli avea,  che a pena poteva elli andare,  se non in passo.  Allor riguarda di dietro lui 
et voit venir. J. chevalier armé et une molt bele dame avec lui. Il le saluent, 	si uoit uenir ung cheualier et une moult belle dame auec luy. ilz le salluent 	et uoit uenir ung cheualier arme et une belle dame auec luy Ilz le saluent 	et uoit uenir .I. cheualier tout arme et une dame auec lui.  et il le saluent 	et uoit uenir .i. cheualier arme. et une molt bele dame.  aueuc lui. il le saluent 	et voit uenir vn cheualier arme.  et cheualchoit aueques lui vne bele dame. 	y traia vna donzella Con sigo que hera muy fermosa y tanto 	e vide venire un cavaliere armato  e una molto bella dama con esso 
quant il viennent pres,  et il a molt grant paor de quenoissance; 	quant ilz uiengnent prez/  et il a moult grant paour destre congneu/ 	quant il uiennent pres  et il a moult grant paour de cognoissance. 	quant il uiennent pres.  et il a paour 	quant il uienent pres.  et il a molt grant paor de connoissance. 	Et quant il vindrent pres de lui  si le saluent.  Et il ot grant paour de connissance. 	que ael llegaron saludaronle y el aellos 	lui.E elli il salutano  quand’egli il vidono, e elli à molto gran paura di conoscenza, 
si respont basset  que Diex les beneie. «  Biaux sire, fait la dame, 	si respont tout bas  que dieu les beneie/ Beau sire fist la dame 	si respont has  que dieu les benye. beau sire fait la dame 	quil ne le quenoissent si respont daset  Si dit que diex les beneie. Sire fait la dame	Si respont basset que diex le beneie.  Biaus sire fet la dame 	Si respont  que boine auenture lor doinst diex.  Biau sire fet la dame 	y dixole la dueña  señor cauallero 	si risponde bassetto  che Dio li  benedica.PBel sire, diss’ella la dama, 
qui estes vos ? — J. chevaliers sui,  ce poez veoir. — 	qui estes uous/ ung cheualier suys ce poues uoir. 	qui estes uous. Dame fait il. ie suys ung cheualier  ce pouez uous ueoir. 	qui estes uos.  et lanc̃. respont dame Ie sui uns cheualiers ce poez ueoir. 	qui estes uous Dame .i. cheualier . sui. ce poez ueoir. 	qui estes vous. Dame fet il vns cheualiers sui ce poes ueoir. 	quien sodes dixo el  yo so vn Cauallero  y esto podedes vos bien sauer sin falla cauallero sodes vos dixo ella 	chi siete voi?  — Dama, diss’elli, un cavaliere son io,  ciò potete vedere. 
Si m’aïst Diex, fait ele, chevaliers estes vos tel a mon esciant  qu’il n’a vostre pareil ou monde: 	Si maist dieu fist elle cheualier estes uous/ tel a men aduiz  quil na uostre pareil eu monde. 	Si maist dieu fait ielle ie croy  quil n y a pas uostre pareil ou monde. 	Si maist diex fait ele cheualiers estes uous tex  qui na millor cheualier el monde. 	Si mait diex fet ele cheualier estes uous. tel au mien escient  quil na uostre pareil el monde. 	Si mait diex fait elle cheualiers estes vous au mien escient.  tel  quil na vostre pareil el monde. 	atal que enel mundo no ay vuestro par al mi cuidar esto se vio por oy y porlo ver pormis ojos 	—- Se m’aiuti ldio, cavaliere siete voi tale a mio sciente  che non à vostro pari nel mondo, 
si le sai par or̈r dire et par veoir et je vos pri par la riens  que vos plus amez el monde	si uous prie 	si le scay par ouyr dire et par ueoir.  et ie uous pry par la chose  que uous plus amez 	et si le sai par oir dire et par ueoir.  et ie uos pri par la rien  que uos plus ames 	si le sai par oir dire et par ueoir.  Et ge uous pri par la riens  que uous plus amez el monde.	Si le sai par oir dire. et par ueoir  Si vous proi par la riens el monde  que vous plus ames 	e yo vos Ruego porla fe  que deuedes ala cosa del mundo 	si l so per udir dire e per vedere. io vo priego, per la cosa al mondo  che vo più amate, 
que vos hui veingniez herbergier o moi en un mien chastel  qui ci pres est,  par couvant 	que uous uiengnes meshuy herbeger  auec moy en ung mien chastel qui est cy pres/ par tel cenuenant 	que uous ueignez maishuy herberger o moy en ung mien chastel  qu est pris par conuent 	que uos huimais habregiez auec moi.  Par .i. couent 	que uous meshui ueingniez hebergier o moi. en .i. mien chastel  qui ci pres est. par conuent. 	que vous hui  mais uenes herbergier auec moi a vn mien castel  qui ci pres est. par couent 	que vos mas amades  que vaiades comigo a aluergar a un mi castillo  que es çerca de aqui por pleito 	che vo'  ma oggi vegniate ad albergar con esso noi in un mio castello  che qulil presso est, per convento 
que je vos mousterrai demain la plus bele riens  que vos onques veissiez. » 	que ie uous menstreray demain la plus belle chose  que uous ueistes oncques. 	que ie uous monsterray demain la plus belle chose  que uous ueissez oncques. 	que ie uos mosterai demain la plus bele rien dou siecle. 	que ie uous mousterrai demain. la plus bele riens  que rous ueisiez onques. 	que iou vous mousterrai demain la plus bele riens  que vous onques ueissiez 	que vos muestre  e vna delas mas fermosas cosas del mundo de grado 	ch’i' vo mosterò domane la più bella cosa  che vo' vedeste unque mais. 
