micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
Or me dites, fet il,  se vos quenoissiez I. josne chevalier  qui est compaingnon de la Table Reonde 	Or me dites  dont fet il.  se uous connoissiez .i. ioene cheualier. qui est compaignon de la table reonde 	Or me dictes fait il  si uous cognoissez ung ienne cheualier de la table ronde 	Or me dites fet li cheualiers  se vous connissies. i. iouene cheualier qui a a non hector  et est compains de la table roonde.	Or me dictes fist il/  se uous congnoissez ung ieune cheualier/  qui est compaignon de la table ronde le 	Or me dites fait li ostes ce uos quenoissiez .I. Iuesne cheualier qui a non hector des mares  et est compains de la table reonde. 	pues dixo el huesped  conoçedes vos vn cauallero Mançebo 	— Or mi dite, diss’egli,  se vo' conoscete un giovane cavaliere  ch’è compagno della Tavola Ritonda 
et a non Hestor des Mares. —  Si m’aist Diex, fait Lanceloz, je le conois bien. —  Et que vos en samble? fait cil.  Voldra il ja riens ? —	eta a non hector des maires.  Si mait diex fet lanc̃. Ie le connoit bien.  Et que uous en resemble  fet cil.  uaudra il ia riens. 	qui a nom hector des mares.  si maist dieu fait lancelot ie le cognoys bien.  Et que uous en semble fait il uaudra il ia riens 	Si mait diex fait lancelot iou nel connois mie bien.  Et que vous en samble fait cil vaudra il ia riens. 	quel a a nom hector des mares.  Si maist dieu fist il ie le congnoiz bien.  Et que uous en semble il fist le cheualier  uauldra il ia riens en armes. 	Oil fait lanc̃.  et que uos en sanble il.  Certes fait il 	que a nombre estor de mares si conozco  dixo el  que es muy buen cauallero en armas 	e à nome Astor di Mare.  —e m’aiuti lddio. disse Lancelotto, il conosco bene.  — Che vo ne sembia?, diss’elli. Varrà egli nulla? - 
Par Sainte Croiz, fait Lanceloz. je ne sai el monde chevalier de son aage  que je doutasse tant  com je feroie lui,  s’il nos couvenoit aler dusqu’a outrance, 	par sainte croiz. Ie ne sai el monde cheualier. de son aage.  que ie redoutasse tant comme lui.  Sil nous couenoit aler iusqua outrance 	Certes fait il ie ne scay  ou monde cheualier de son aage  que ie doutasse  tant sil nous failloit aler iucqua outrance. 	par sainte crois fet lancelot. iou ne sai homme el monde de son eage  que iou douteroie autant  comme iou feroie lui.  sil nous conuenoit aler iusques a outrance. 	Par saincte croix fist lancelot ie ne scay au monde cheualier de son aage/  que ie doubtasse autant de main  comme ie feroye lui  se il nous conuenoit aller iusques a oultrance/ 	que ie ne ui onques home de son aage  que ie dotasse autant comme lui. 	y muy bien arreçiado y muy lixero  y mucho mas preçio su Caualleria 	Per Sancta Croce, disse Lancelotto,  i’non conosco cavaliere nel mondo di su agio  ch’i' dotasse tanto come lui,  se noi convenisse andare insino ad oltranza, 
car il est preuz et vistes et maniers et porroit soffrir merveille de l travail,  si com je cuit. — Et savez vos, fait il, 	car il est preuz et uistes et maniers.  et porroit souffrir merueilles trauaill.  si comme ie cuit.  Et sauez uous fet il 	car il est preux et uiste.  et pourroit souffrir grant trauail  comme ie cuide  Et sauez uous fait il 	quar il est preus et uistes et maniers.  et puet soffrir a meruelles trauaill  Et saues vous fait cil 	Car il est legier  et assez peult souffrir peine et trauail  si comme ie cuide/  Et scauez fist il 	quil est preus et uistes  et puet bien trauail.  et saues uos 	que la de don galuan  y dixo el huesped 	ch’egli è pro' e visto e manieri, e potrebbe sofferire a maraviglia travaglio,  si com’i' credo.  — Essapete vo', diss’elli, 
qui il est? — 	qui il est. 	quil est.	qui il est	qui il est/ 	qui il est. 		chi elli è? - 
Si m’aïst Diex, fait il, nenil, je nel connois  se de veue non, 	Si mait diex.  fet il nenil. Ie ne les connois se de ueue non	Si maist dieu fait il nennil ie ne le cognoys  que de ueue. 	Si mait diex fait lancelot nenil iou ne le connois  se de veue non 	Si maist dieu fist il nenny ie ne le congnoiz fors que de ueue. 	Certes fait lanc̃. nenil. ie ne le quenois fors dune ueue. 		Se m’aiuti lddio, diss’elli, non, i' non lo conosco se non di veduta, 
mais tant vos di je bien  qu’il est bons chevaliers 	Mes tant uous di ge bien  que il est bons cheualiers et preuz. 	mais ie uous dy bien  quil est bon cheualier et preux.	mais tant vous di iou bien  que il est boins cheualiers et preus 	Mais tant uous diz ie bien  quil est bon cheualier et preux. 	mais ie sai bien  quil est bons cheualiers et preus 	por linaje deuelo ser muy buen Cauallero 	ma tanto vo dich’io bene  ch’egli è buon cavaliere e pro', 
et preuz et plus pris sa chevalerie  que la mon signor Gauvain. — 	Et plus pris ge sa cheualierie. que la misire .G. 	et plus prise ie sa cheualierie que celle de messire gauuain. 	et plus pris sa cheualerie que la monseignor Gauuain. 	Et plus prisie de sa cheualerie/  que messire gauuain. 	et plus pris sa cherrie que la monsignor .G. 	ca el es fijo del Rey ban de benoit 	e più pregio sua cavalleria  che quella di monsignor Galvano. 
Si m’aïst Diex, fait li ostes,  par nature doit il estre bons chevaliers, 	Si mait diex  fet li oste par nature  doit il estre bon cheualier.	Si maist dieu fait loste. par nature  doit il estre bon cheualier. 	Si mait diex fait li ostes par nature  deueroit il estre moult boins cheualiers. 	Si maist dieu fist son hoste par nature  doit il estre bon cheualier. 	Certes fait il bons cheualiers  doit il estre par droite nature.	y quando don lançarote lo oyo fue muy marauillado 	— Se m’aiuti Idio, disse l’oste, per natura doverebbe elli essere buon cavaliere, 
car ses peres fu I. des bons chevaliers dou monde,  ce fu li rois Ban de Benoye 	car son pere fu .i. des bons cheualiers. del monde.  Ce fu li rois bans de benoyc. 	car son pere fut ung des meilleurs cheualiers du monde.  ce fu le roy ban de benoic 	quar sez peres fu vns des boins cheualiers del monde.  Et che fu li roys bans de benoyc 	Car son pere fut ung des bons cheualiers du monde.  Ce fut Ban de benoic 	Car ses peres fu uns des bons rois del monde.  Ce fu bans de bannoyc 	y dixo al huesped 	ché su padre fu un de miglior cavalieri del mondo:  ciò fu il re Bando di Benoic 
