0	Lors saut avant li nains 	LOrs saut auant li nains 	0
1|2	et dist a mon signor Vvain: «Sire,|tant sachiez vos de Lancelot 	et dit a monsignor .y. Sire i l est sains et haitiez. il na pas .u. Iors que ie le ui a .i. tornoiement deuant le chastel de la charreste 	1
3	qu’il est sains 		
4	et haitiez 		
5	ne n’a pas encor V. jorz 		
6|7	que je le vi a I. tornoiement |qui fu feruz devant le chastel a la Charrete des chevaliers de Gorre et des homes le roi de Norgales, 	qui fu des cheualiers de gorre et des homes le roi bademagu de norgalles. 	2
8	et si le fist si bien a cele assemblee 	et le fist si bien 	3
9	qu’il vainqui tout 	quil les uainqui 	4
10	et emporta tout le pris d’une part et d’autre. 	et enporta le pris dune part et dautre. 	5
11	Et por ce que vos m’en creez mielz, vos di je 	et |por ce que uos men creez miex uos di ge 	6|7
12	qu’il porta armes blanches 	quil porta le ior un escu blanc et unes armes blanches 	8
13	et J. escu blanc et aida au roi de Gorre 	et aida a la gent le roi bademagu de gorre. 	9
14	si que tuit cil de Norgales furent vaincu. — En non Deu, fait mes sire Yvain, tu en dis si bonnes enseingnes 	Si que ciz de gorre furent uaincu. |En non dieu fait messires. .y. tu en dis ci bones noueles. et tex ensangnes 	10|11
15	que l’an t’an doit bien croire: 	que tu en fais bien a croire. 	12
16	si m’en porrai bien retorner, 	Si men porrai retorner 	13
17	quant moi plaira, 	quant moi plaira 	14
18|19	car bien voi |que j’ai ma queste afinee, 	que ie ai bien acheuer ma queste. Ia ne poez uos retorner 	15
20|21	puis que j’en ai oïes vraies noveles. — Ja ne poez vos mie retorner a cort, fait li nains, |sanz vos autres compaingnons. — 	sans uos conpangnons fait li nains. 	16
22	Si puis bien. fait il. — 	Si puis fait il. 	17
23	Or me di, nains, fait Boorz, 	Or me di nains fait behors 	18
24	et de la cort seztu nouveles ? — 	et de la cort ces tu nulles nouelles. 	19
25	Oïl, fait li nains, li rois a fait mander par toute sa terre 	Oil fait il. li rois a mande par tote sa terre	20
26	qu’il fera ferir J. tornoiement as huitaves de la Magdelainne es prez desouz Kamaalot;	que il fera faire |.i. tornoiement es pres desous kamaalot as octaues de la magdlainne. 	21|22
27|28	si envoie touz ses messages as barons de cest pais |por ce	si a enuoiet ses mesaiges as barons de cest pais. 	23
29|30	qu’il i soient, |et je meismes le vois nonçant? a touz les prodomes 	et ie meismes le uois noncent a tous les barons 	24
31	que je conois 	que ie quenois. 	25
32|33	qu’il i aillent, |car touz li monz i sera. — Diex doint, fait Boorz, 	Or doint diex fait behors 	26
34	que je aie entre ci et la achevee la besoingne a ceste damoisele, 	que ie aie escheuee la besongne ceste damoisele entre ci et la 	27
35|36	car molt avroie grant joie,|se g’i pooie venir a tans. » Longuement ont parlé ensemble 	que mout auroie grant ioie ce ie i pooie uenir. LOnguement ont parle ensanble. 	28
37|38	tant|que Boorz dist a mon signor Yvain: « Sire, je vos conmanderai a Dieu 	tant que behors dit a monsignor .y. Sire ie uos comant a dieu 	29
39	et m’an irai, 	et men irai 	30
40	qu’il le me couvient faire, 	car il le me couient a faire. 	31
41	car je me hasteroie volentiers de ma besoingne mestre a fin 	Car ie me hasteroie uolentiers |por ma besongne acheuer 	32|33
42	por savoir 	por sauoir 	34
43	se je porroie venir au tornoiement a tans: 	por sauoir ce porroie a tans uenir a ce tornoiement. 	35
44	car je sai bien 	Car ie sai bien 	36
45	que mes sires i sera, 	que messires i cera 	37
46	se Diex le deffent de mort et de prison 	se diex le desfant de mort ou de prison. 	38
47|48	et por lui veoir i voil je estre. — Sire, fait mes sire Vvain, |puis que vos en volez aler, je vos commanderai a Jhesu Crist 	por ce i uoroie ie estre. Sire fait messires .y. ie uos comant a dieu. 	39
49	qui vos contajduie en quel que leu 		
50	que vos ailliez. » 		
51|52	Et il s’em part maintenant o la damoisele |por cui il est de cort partiz. 	et il sen ua entre lui et la damoisele. 	40
53	Et mes sire Yvain remest si navrez	et messires y remest si naures 	41
54	qu’il avoit bien mestier de mire, 	quil auoit bien mestier de mire. 	42
55	car il avoit assez perdu del sanc; 		
56	si se repose entre lui et le nain dusque vers none;	et se repose entre lui et le nain iuqua none. 	43
57|58	et quant li chauz fu remez |et li solauz fu abaissiez, 	Et quant li solaus fu abaissiez 	44
59	si monta mes sire Vvain sor son cheval 	si monte messires .y. 	45
60	et s’en ala le petit pas tant 	et sen ua tot le pas	46
61	qu’il vindrent a I. blanche abaie de nonains. Il descent	tant quil uient a une abeie de nonains. 	47
62|63	et demande l’ostel, |et li sergent li saillent a l’encontre, 	Si demande lostel. et li sergent de laiens saillent auant 	48
64|65	por ce|que malades lor samble, 	por ce que cheualiers malades lor sanble. 	49
66	si le desarment au plus doucement 	Si le desarment au plus soef 	50
67	que il pueent 	quil puent 	51
68	et le mestent couchier en une chambre 	et le mainnent couchier an une chambre. 	52
69	et li font garder ses plaies a une des damoiseles de laienz 	et li font regarder ses plaies a une dame 	53
70	qui assez savoit de cel mestier. 	qui asses sauoit de tel mestier. 	54
71	Et quant ele les a veues, 	et com ele le uit	55
72	si dist 	si dit 	56
73	qu’il n’a garde de mort, 	quil na garde de morir. 	57
74|75	car ele le cuide randre sain et antier dedenz XV. jorz. |Si remest ainsi laienz 	et quele le randra tout sain dedens .xu. Iors et porra cheuauchier. 	58
76|77	tant qu’il fu auques gueriz des plaies |que mes sire Boorz li avoit faites. 	Ensi remest messires .y. .xu. Iors tant que il fu garis 	59
78	Quant il fu auques gariz, 	et quant il fu garis et haitiez 	60
79|80	si se part de laienz |et commande les dames a Deu,	si comanda les dames de laiens a dieu. 	61
81|82	car molt l’avoient servi en sa maladie. |Quant mes sire Yvain se fu partiz de laienz, » 	quant il fu partis de laiens 	62
83	si chevaucha toute la semainne ainsi 	si cheuaucha tote la matinee 	63
84	comme aventure le menoit tant 	si comme auanture le mainne. 	64
85	qu’il vint a unes broces. 	Tant quil uint a lantree dunes broses. 	65
86	Lors resgarda devant lui el chemin 	et lors regarde uant soi 	66
