micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
Lors saut avant li nains 		LOrs saut auant li nains 	Lors saut auant li nains 	LOrs sault auant li nains 	Lors sault auant le nain 		Allor salta avanti il nano 
et dist a mon signor Vvain: «Sire, tant sachiez vos de Lancelot 	Lors sault le nayn sy dist a menseigneur yuain. Sire tant sachiez uous de Lancelot/ 	et dit a monsignor .y. Sire i l est sains et haitiez. il na pas .u. Iors que ie le ui a .i. tornoiement deuant le chastel de la charreste 	et dist a monseignor Ywain.  Tant sachies bien sire  ce dist li nains de lancelot 	et dit a monseignor .y. Sire:  tant sachiez uons de lanc̃. 	et dist a messire yuain. sire tant sachez uous bien 	señor dixo el enano 	e disse a monsignor Yvano:  «Tanto sappiate vo' di Lancelotto 
qu’il est sains  et haitiez  ne n’a pas encor V. jorz  que je le vi a I. tornoiement  qui fu feruz devant le chastel a la Charrete des chevaliers de Gorre et des homes le roi de Norgales,  et si le fist si bien a cele assemblee 	qu il est tout sain  et tout haittie ne na pas encorez .ui. iours  que ie le uiz a ung tournoy quil fut feru deuant le chastel de la charette entre le roy bademagu/ et le roy de norgales  et fist si uaillamment a celle assemblee/ 	qui fu des cheualiers de gorre et des homes le roi bademagu de norgalles.  et le fist si bien 	quil est sains et haities ne si na pas encore mie plus de. vi. iors que iou le vi a. j. tornoiement  qui fu ferus deuant le castel de la charrete. dez cheualiers au roy baudemagu de Gorre et de ceuls del Royalme de norgales :  Si le fist si bien a celle assamblee 	quil est sainz  et hetiez ne na pas encore .u. iors. que ie le ui a .i. tornoiement.  qui fu feruz deuant le chastel de la charrete. des cheualiers de Gorre et des homes le roy de norgales  et le fist si bien a ceste assemblee 	que lancelot est sain et haitie.  car il na pas encor .u. iours passez  que ie le uy a ung tornoyement qui fu feru deuant le chastel de la charrete des cheualiers de gorre. et de ceulx de norgales  si le fist si bien a celle assemblee 	yo lo vi sano y alegre  no a mas de seis dias envn torneo  que fue enel castillo dela carreta 	ch’egli è sano e atato,  né non à passo. v. giorni  ch’io il vidi a un torniamento  che fu fedito davanti il castello della Caretta de cavalieri di Gora e de li uomini del re di Norgales:  e l fece si bene a quella asembiata
qu’il vainqui tout 	quil uainquit tout/ 	quil les uainqui 	quil uainqui tout. 	quil uainqui tout outreement. 	quil uainqui tout 		ch’elli vinse tutto interamente, 
et emporta tout le pris d’une part et d’autre. 	et emporta le pris dune part et daultre.	et enporta le pris dune part et dautre. 	et emporta le pris dune part et dautre. t pour chou 	et enporta le pris dune part et dautre. 	et emporta tout le pris dune part et dautre. 		e ne portò il pregio d’una parte  e d’altra; 
Et por ce que vos m’en creez mielz, vos di je 	Et affin  que uous men croiez mieulx uous dis ie 	et  por ce que uos men creez miex uos di ge 	que vous men crees de mieuls vous di iou 	Et pour ce que uous men creez miex uous di ge. 	Et affin  que uous men creez mieulx uous dy ie		'e per ciò che vo' mi crediate meglio, vo dich’io 
qu’il porta armes blanches  et J. escu blanc et aida au roi de Gorre 	quil porta blanches armes  et ung escu blanc  et aida au roy bademagu de gorre/ 	quil porta le ior un escu blanc et unes armes blanches  et aida a la gent le roi bademagu de gorre. 	quil porta vnes armes blances  et. i .J escu tot blanc. et aida au roy baudemagu. 	quil porta armes blanches.  et .i. escu blanc.  et si aida au roy badem̃. de gorre. 	qu il porta unes armes blanches et ung escu blanc  et aida au roy de gorre. 	y el bençio el torneo y trae el escudo e las armas todas blancas 	ch’elli portò armi bianche e uno scudo bianco,  e aiutò al re Bando di Maguzo di Gora  si che tutti 
si que tuit cil de Norgales furent vaincu. — En non Deu, fait mes sire Yvain, tu en dis si bonnes enseingnes  que l’an t’an doit bien croire: 	si que tous ceulx de norgalles furent uaincus.  Certes dist monseigneur yuain tu en ditz telles nouuelles/  que len ten doit bien croire.	Si que ciz de gorre furent uaincu.  En non dieu fait messires. .y. tu en dis ci bones noueles. et tex ensangnes  que tu en fais bien a croire. 	si que tout cil de norgales furent tout uaincu Enon dieu fet mesire ywain tu en dis teuls noueles et teuls enseignes  que len doit bien croire. 	si que tuit cil de norgales furent uaincu.  En non dieu fet misire .y. tu en diz si bonnes ensaignes.  que len ten doit bien croire. 	si que tous ceulx de norgales furent uaincuz. Certes fait messire yuain tu en deis si bonnes enseignes  que len ten doit bien croire 	pordios dixo don yban de oy 	que di Norgales furono vinti. — l A nome di Dio.  disse monsignor Yvano,  tu ne di' si buone insegne  che l’uomo ti dee ben credere: 
si m’en porrai bien retorner, 	Si men puis bien retourner/ 	Si men porrai retorner 	si men porrai bien retorner 	Si men porrai bien retorner	si men puis bien retourner 		si mmi potre ben ritenere 
quant moi plaira,  car bien voi  que j’ai ma queste afinee,  puis que j’en ai oïes vraies noveles. — Ja ne poez vos mie retorner a cort, fait li nains,  sanz vos autres compaingnons. — 	quant il me plaira.  Car il mest auiz  que iay bien ma queste affinee Monseigneur fist le nayn uous ne pouez pas retourner arriere a court  sans uoz aultres compaignons/  puis que uous estes partis ensemble. 	quant moi plaira  que ie ai bien acheuer ma queste. Ia ne poez uos retorner  sans uos conpangnons fait li nains. 	quant moi plaira.  quar bien mest auis  que bien ai ma queste achieuee.  puis que iou ai oi teuls noueles. 	quant moi plera  quar il mest auis  que iai bien ma queste affinee.  puis que ien ai uraies nouueles oies. Ia ne poez uos mie retorner a court fet li nains sanz uos autres compaignons.  puis que uous meustes ensemble. 	quant il me plaira  Car bien uoy  que iay ma queste finye  puis que ien ay ouy nouuelles  si urayes. uous ne pourriez retourner a court sans uoz autres compaignons fait le nain. 	mas puedo yo dezir  que he mi demanda aCabada 	quando me piacerà,  ch’elli m’è bene aviso  ch’io ho ben mia chesta a fine menata,  poscia ch’i'n’ô verace novelle udite.  —-Già non potrete voi, disse il nano, ritornare a corte sanza vostri altri compagnoni,  poscia che vo moveste insieme. 
