0	queria fallar muy de grado	Sire fait elle	0
1	e luego le conto todo	pour ce	1
2	como le auia conel contesçido	que ie le uoudroie auoir trouue	2
3	asi como el cuento lo a deuisado	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	3|4
4	e luego entendio boores	tant que il cognoist bien	5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	que cest il quelle quiert|Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	6|7
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui porte escu blanc|Certes sire fait elle ce me poise	8|9
7	e boores non quiso conella mas estar	et il ne tient plus parole a luy|ains sem part	10|11
8|9	e acomendo la a dios|e fuese	si tost quil leut commandee a dieu	12
10|11	e andubo tanto|que salio dela floresta	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	13
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et il tourne a destre vers ung chemin uieil	14
14|15	e biejo lleno de yerba|e non andubo mucho	et ancien	15
16|17	porque llego a vn valle|Por do corria vn agua muy negra	Si ne demoura gueres quil uient a une caue lee	16
18|19	e fea|e fonda	et parfonde	17
20|21	e non fallo puente|por do Pudiese pasar	mais il ny treuue pont ne gue ne passage nul	18
22	e cato dela otra parte Del agua	et il regarde de lautrepart de leaue	19
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	20
24	e el cato gran pieça el castillo	Il regarde grant piece le chastel	21
25	ca mucho se pagaua delo catar	dont la facon luy plaist moult a regarder	22
26	e despues torno la rribera ayuso	puis sen retourne tout contreual la riuiere	23
27|28	Por saber|si podria fallar puente	pour sauoir sil pourroit trouuer ne pont ne gue	24
29	Por do pasase mas el no pudo fallar ninguna	Mais il ny en treuue point|Et quant il uoit quil ne puet passer	25|26
30	e boores desque esto vido no sabia	si ne scet	27
31	que se façer	que faire	28
32	ca el no se queria tomar en ninguna manera	car retourner ne uouldroit il pas	29
33	Ansi estando vio del castillo salir vna donçella en camisa	Adonc uoit yssir du chastel une damoisele|qui estoit toute nue en sa chemise	30|31
34	que traian quatro rribaldos muy sañudamente	si la menoyent quatre nibaux moult uilainement	32
35	e cadavno traia enla mano vna lança	et tenoit ch̃un une hache en sa main	33
36	e ella daua vozes	et elle crioit tant quelle pouoit crier	34
37	quanto podia dar	pour ceulx|qui luy faisoient tel honte	35|36
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	et telle laidure|qui la uenoient batant tout contreual la riuiere	37|38
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant la damoisele uoit le cheualier de lautre part de leaue	39
