0	queria fallar muy de grado	Sire fait elle enuellopee quil ne la pouoit cengnoistre	0
1	e luego le conto todo	pour	1
2	como le auia conel contesçido	pour ce que ie le uouldroie auoir trouue	2
3	asi como el cuento lo a deuisado	si luy compte toute son auanture tant quil cengnoit bien|que cest celle	3|4
4	e luego entendio boores	qui le quiert	5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier	6|7
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui porte les blances armes|En nen dieu fait elle il me poyse monlt chierement	8|9
7|8	e boores non quiso conella mas estar|e acomendo la a dios	A	10
9	e fuese	donc sen part	11
10|11	e andubo tanto|que salio dela floresta	et ne uoult plus parler il la commandee a dieu	12
12	e dexo el camino	et sen ua	13
13|14	e tomo a mano derecha vn camino pequeño|e biejo lleno de yerba	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	14
15	e non andubo mucho	et il tourna a destre uers ung petit chemyn uieil:	15
16|17	porque llego a vn valle|Por do corria vn agua muy negra	si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande	16
18|19	e fea|e fonda	et parfonde	17
20|21	e non fallo puente|por do Pudiese pasar	et ne treuue ne pont ne planche par ou il puisse passer	18
22	e cato dela otra parte Del agua	Sy regarde de laultre part de leaue	19
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	et uoit ung beau chastel monlt bien seant|et bien cloz de muraille tout entour	20|21
24	e el cato gran pieça el castillo	Il regarde le chastel grant pieche	22
25	ca mucho se pagaua delo catar	car monlt luy plaisoit a uoir	23
26	e despues torno la rribera ayuso	puis sen tourne contre ual la riuiere	24
27|28	Por saber|si podria fallar puente	pour scauoir sil pouroit trouuer ne pont ne gue par le	25
29	Por do pasase mas el no pudo fallar ninguna	quel il puisse passer mes il nen truue point	26
30	e boores desque esto vido no sabia	Et il uoit ce|si ne scait	27|28
31	que se façer	que faire	29
32	ca el no se queria tomar en ninguna manera	car retourner ne uoulloit pas	30
33|34	Ansi estando vio del castillo salir vna donçella en camisa|que traian quatro rribaldos muy sañudamente	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise sy la menoient quatre ribaulx monlt felonneusement	31
35	e cadavno traia enla mano vna lança	et tenoient chascun en sa main ung coustel trenchant	32
36	e ella daua vozes	Et la damoiselle crioit tant comme elle pouoit	33
37	quanto podia dar	pour la laidure|et honte	34|35
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	que telx ribaulx luy faisoient|et la menoient batant contre ual la riuiere	36|37
