0	queria fallar muy de grado	auoir troue fait elle	0
1	e luego le conto todo	si li conte toute sauenture	1
2|3	como le auia conel contesçido|asi como el cuento lo a deuisado	si com li contes la retrait cha en arriere	2
4	e luego entendio boores	Tant que il connoist bien quele le quiert	3
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre	4|5
		Ains li respont	6
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	Certes damoisele le cheualier|qui porte blanches armes ne connois iou mie	7|8
7	e boores non quiso conella mas estar	Enon dieu sire fait elle che poise moi moult durement	9
8	e acomendo la a dios	Lors le commande a dieu	10
9	e fuese	et puis sen part de li	11
10	e andubo tanto	et cheuauche en tel maniere iusques a tierce	12
11	que salio dela floresta	Tant que il vint a lissue de la forest	13
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et torne a destre en vn petit chemin viez	14
14|15	e biejo lleno de yerba|e non andubo mucho	Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant	15
16|17	porque llego a vn valle|Por do corria vn agua muy negra	et roide	16
18|19	e fea|e fonda	et parfunde	17
20|21	e non fallo puente|por do Pudiese pasar	mais il ni troeue ne pont ne passage	18
22	e cato dela otra parte Del agua	Et il regarde de lautre part de laigue|si y uoit	19|20
		j	21
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	castel moult bien seant|clos de mur bateillie tout entor a la reonde	22|23
24	e el cato gran pieça el castillo	Il regarde le chastel grant piece	24
25	ca mucho se pagaua delo catar	dont la fachons li plaisoit moult a regarder	25
26	e despues torno la rribera ayuso	puis sen torne contremont la riuiere	26
27|28	Por saber|si podria fallar puente	pour sauoir se il troueroit ne pont ne gue	27
29	Por do pasase mas el no pudo fallar ninguna	mais il ni trueue nul passage	28
30	e boores desque esto vido no sabia	Et quant il voit chou|si ne set	29|30
31	que se façer	que faire	31
32	ca el no se queria tomar en ninguna manera	quar retorner ne volroit il en nulle maniere	32
33	Ansi estando vio del castillo salir vna donçella en camisa	Lors uoit issir del castel vne damoisele toute nue en sa chemise|si le menoient	33|34
34	que traian quatro rribaldos muy sañudamente	iiij|ribaut moult felenessement	35|36
35	e cadavno traia enla mano vna lança	et tenoit Cascuns en sa main|i	37|38
36	e ella daua vozes	coutel trenchant|Et elle crioit quamque elle pooit por chiaus	39|40
37	quanto podia dar	qui li faisoient tel laidure	41
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	quar il lenmenoient tot contreual la riuiere batant	42
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant elle vit le cheualier de lautre part de laigue|si li commenche a crier	43|44
40	e a deçir ay jentil cauallero acorred a esta donçella	Ha : gentils homs|quar secoures ceste damoisele	45|46
41	que estos Ribaldos me quieren	que cist ribaut voelent ochirre	47
42	ansi matar ay buen cauallero	Pour dieu ne mi laissies ore mie morir	48
43|44	si nunca oviste piedad de donçella auelda agora de mi|e no me dexedes	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame	49
45|46	asi morir|Quando boores oyo	Quant bohors oy	50
47	lo que la donçella deçia no supo	que la damoisele li prioit|si piteusement de li secorre	51|52
		si One sot	53
48	que façer	que faire	54
49	ca muy de grado la quisiera acorrer	quar volentiers li alast aidier sil peust estre	55
50	si pudiese Mas el agua hera muy fonda	mais il voit laigue parfonde	56
51	e peligrosa	et perillouse	57
52	e negra	et noire	58
53	e bien cuidaua morir	si quide bien morir se il	59
54	si se	si met	60
55|56	y Metiese|e dela otra parte veya la donçella	Et dautre part voit il cels	61
57	que muy afincada mente le pedia merçed	qui si piteusement li crie merci	62
58|59	e ovo tal piedad della|que le fiço todo el miedo perder	si len prent tele pities quil en laisse toute paour	63
60	e fiço la señal dela cruz sobre	et met le signe de la vraie crois en mi son front	64
61	si e enbraço el escudo	et en mi son pis|puis enbrace son escu	65|66
62	e firio al cauallo de las espuelas	et fiert le cheual des esperons	67
63	e lanço se en el agua	et se lance en laigue	68
64	e el cauallo començo de nadar	Et li cheuaus commence a noier:	69
65	luego e perdio tierra en tal manera	si tost quil a terre perdue	70
66	que paso dela otra parte del agua mas ante beuio el cauallo del agua	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns|et li autres	71|72
