A	B
0	0
1	1
2	2
3	3|4
4	5
5	6|7
6	8|9
7|8	10
9	11
10|11	12
12	13
13|14	14
15	15
16|17	16
18|19	17
20|21	18
22	19
23	20|21
24	22
25	23
26	24
27|28	25
29	26
30	27|28
31	29
32	30
33|34	31
35	32
36	33
37	34|35
38	36|37
39	38|39
40	40
41|42	41
43	42|43
44	44
45	45
46|47	46
48	47
49|50	48
51|52	49
53|54	50
55|56	51
57	52
58|59	53
60|61	54
62	55
63	56
64	57
65	58
66	59|60
	61
67	62|63
68	64|65
69	66|67
70	68|69
71	70
72|73	71
74	72
75|76	73
77|78	74
79	75
80|81	76
82|83	77
84|85	78
86|87	79
88	80|81
89	82
90|91	83
92|93	84
94|95	85
96|97	86
98	87
99	88
100|101	89
