A	B
0|1	0
2|3	1
4	2
5	3|4
6	5|6
7	7|8
8	9|10
9	11
10|11	12
12	13
13	14
14	15
15|16	16
17	17
18	18|19
19	20
20|21	21
22	22|23
23	24|25
24	26
25	27
26|27	28
28|29	29
30	30|31
31	32
32	33
33	34|35
34	36
35	37
36	38
37	39
38	40
39	41|42
40	43|44
41	45
42	46
43	47
44|45	48
46	49|50
47	51|52
48	53
49	54
50	55
51	56
52|53	57
54|55	58
56	59
57	60
58|59	61
60	62
61	63
62	64
63	65
64	66|67
65	68
66	69|70
	71
67	72|73
	74
68|69	75
70	76|77
	78
71	79
72|73	80
74	81|82
75	83
76	84
77|78	85
79	86|87
80	88|89
81	90
82	91
83	92
84	93
85	94|95
	96
	97
86	98|99
	100
	101
87	102|103
	104
	105
	106
88	107
89	108
90	109|110
91	111|112
	113
92	114|115
93	116
94	117|118
95	119
96	120|121
97	122|123
98	124|125
99	126
100	127|128
	129
101	130
	131
	132
	133
	134
