A	B
0	0
1	1
2|3	2
4	3
5	4|5
	6
6	7|8
7	9
8	10
9	11
10	12
11	13
12|13	14
14|15	15
16|17	16
18|19	17
20|21	18
22	19|20
	21
23	22|23
24	24
25	25
26	26
27|28	27
29	28
30	29|30
31	31
32	32
33	33|34
34	35|36
35	37|38
36	39|40
37	41
38	42
39	43|44
40	45|46
41	47
42	48
43|44	49
45|46	50
47	51|52
	53
48	54
49	55
50	56
51	57
52	58
53	59
54	60
55|56	61
57	62
58|59	63
60	64
61	65|66
62	67
63	68
64	69
65	70
66	71|72
67	73|74
68	75|76
	77
	78
69	79
70	80
71	81
72|73	82
74	83|84
75	85
76	86|87
77	88
78	89
79	90
80	91|92
81	93
82	94
83	95
84	96
85	97
86	98|99
87	100
88	101
89	102
	103
90	104|105
91	106
92	107
93	108
94	109
95	110|111
96	112
97	113|114
98	115|116
99	117|118
100	119|120
101	121|122
	123
	124
