lanzarote-ii-48	lancellotto-ii-48	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48
queria fallar muy de grado e luego le conto todo	avere trovato Si gli conta tutta sua aventura	avoir trové	porce	auoir troue fait elle si li conte toute sauenture	Sire fait elle pour ce	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour
como le auia conel contesçido asi como el cuento lo a deuisado	si come el libro l’à trattato qua adietro	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	que io le uodroie auoir troue Si li conte tote sauenture ainsi com li contes la retraite Tant que il quenoit bien	si com li contes la retrait cha en arriere	que ie le uoudroie auoir trouue si luy compte toute sauanture ansi comme le comte la dit cy deuant	pour ce que ie le uouldroie auoir trouue si luy compte toute son auanture tant quil cengnoit bien que cest celle
e luego entendio boores	tanto che conosce bene	tant qu’il conoist bien	que cest ele que il le quiert	Tant que il connoist bien quele le quiert	tant que il cognoist bien	qui le quiert
que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	che ciò est elli quelli cui ella chiede ma per lo cruccio ch’egli à della morte del siniscalco non si vuole fare cognoscere anzi le risponde	que c’est il qu’ele quiert a Mais por le coros de la mort al seneschal ne se volt fere conoistre	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li si li dit	Mais pour le courous quil a del senescal ne se volt il faire aconnoistre	que cest il quelle quiert Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier
				Ains li respont		
			Certes damoisele			
	'Certo damigella il cavaliere					
que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	che porta lo scudo bianco non ne so io nulla —A nome di Dio dis’ella ciò pesa a mes	ains li respont Certes damoisele	qui port escu blanc ne sai ie nul En no dieu fait ele de ce me poise il trop durement	Certes damoisele le cheualier qui porte blanches armes ne connois iou mie	qui porte escu blanc Certes sire fait elle ce me poise	qui porte les blances armes En nen dieu fait elle il me poyse monlt chierement
e boores non quiso conella mas estar e acomendo la a dios e fuese	E non tenne più a llei parole anzi si parti si tosto come l’à comandata a dDio	chevalier qui porte escu blanc ne conois je nul — En non Dieu sire fet ele	et il ne tient plus a li parole Ains sen part	Enon dieu sire fait elle che poise moi moult durement Lors le commande a dieu et puis sen part de li	et il ne tient plus parole a luy ains sem part si tost quil leut commandee a dieu	A donc sen part
e andubo tanto que salio dela floresta e dexo el camino e tomo a mano derecha vn camino pequeño e biejo lleno de yerba e non andubo mucho porque llego a vn valle Por do corria vn agua muy negra	e cavalca tanto in tale maniera infino qua a terza tanto che viene a l’uscita della foresta Ed e torna a destra inverso uno camino vecchio e antico si non dimora guari	ce poise moi chierement Et il n’en tient plus a li parole ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; et il torne a destre vers un chemin viés	si tost comme il lot comandee a dieu et cheuauche en tel maniere tant quil uient a lissue de la forest et il torne a destre uers le chemin uiee et acien Si ne demora gaires quil uient a une eue lee	et cheuauche en tel maniere iusques a tierce Tant que il vint a lissue de la forest et torne a destre en vn petit chemin viez Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant et roide	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest et il tourne a destre vers ung chemin uieil et ancien Si ne demoura gueres quil uient a une caue lee	et ne uoult plus parler il la commandee a dieu et sen ua et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande
e fea e fonda	che viene a una acqua lata	et ancien; si ne demora gueres qu’il vint a une eve P lee et parfonde	et parfonde	et parfunde	et parfonde	et parfonde
e non fallo puente por do Pudiese pasar	e perfonda ma e' non vi truova né ponte né guado né passaggio nullo	mais il n’i trueve pont ne gué ne passage nul	mais il ni trueue ne pont ne gue ne passaige nul	mais il ni troeue ne pont ne passage	mais il ny treuue pont ne gue ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer
e cato dela otra parte Del agua	Ed elli isguarda d’altra parte dell’acqua	Et il regarde d’autre part de l’eve si voit I	et lors regarde il dautre part de leue	Et il regarde de lautre part de laigue si y uoit	et il regarde de lautrepart de leaue	Sy regarde de laultre part de leaue
				j		
e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si vide uno piccolo castello molto ben sedente chiuso d’uno muro battagliato tutto intorno alla ritonda	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	Si uoit	castel moult bien seant clos de mur bateillie tout entor a la reonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour
